"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","242TMP22051316","2022-05-13",16,18.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"2","242TMP22051317","2022-05-13",17,18.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"3","242TMP22051318","2022-05-13",18,19.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"4","242TMP22051319","2022-05-13",19,18.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"5","242TMP22051320","2022-05-13",20,17.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"6","242TMP22051322","2022-05-13",22,13,1,"°C",242,"Ajusco Medio","AJM","TMP"
"7","242TMP22051323","2022-05-13",23,11.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"8","242TMP22051400","2022-05-14",0,9.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"9","242TMP22051401","2022-05-14",1,8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"10","242TMP22051402","2022-05-14",2,7.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"11","242TMP22051403","2022-05-14",3,6.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"12","242TMP22051404","2022-05-14",4,6.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"13","242TMP22051405","2022-05-14",5,5.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"14","242TMP22051406","2022-05-14",6,4.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"15","242TMP22051407","2022-05-14",7,3.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"16","242TMP22051408","2022-05-14",8,4.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"17","242TMP22051409","2022-05-14",9,8.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"18","242TMP22051410","2022-05-14",10,10.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"19","242TMP22051411","2022-05-14",11,11.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"20","242TMP22051412","2022-05-14",12,14,1,"°C",242,"Ajusco Medio","AJM","TMP"
"21","242TMP22051413","2022-05-14",13,16,1,"°C",242,"Ajusco Medio","AJM","TMP"
"22","242TMP22051414","2022-05-14",14,17.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"23","242TMP22051415","2022-05-14",15,18.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"24","242TMP22051416","2022-05-14",16,19,1,"°C",242,"Ajusco Medio","AJM","TMP"
"25","242TMP22051417","2022-05-14",17,19,1,"°C",242,"Ajusco Medio","AJM","TMP"
"26","242TMP22051418","2022-05-14",18,18.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"27","242TMP22051419","2022-05-14",19,17.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"28","242TMP22051420","2022-05-14",20,16.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"29","242TMP22051421","2022-05-14",21,14.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"30","242TMP22051422","2022-05-14",22,13.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"31","242TMP22051423","2022-05-14",23,12.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"32","242TMP22051500","2022-05-15",0,11.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"33","242TMP22051501","2022-05-15",1,10.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"34","242TMP22051502","2022-05-15",2,9.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"35","242TMP22051503","2022-05-15",3,8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"36","242TMP22051504","2022-05-15",4,6.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"37","242TMP22051505","2022-05-15",5,5.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"38","242TMP22051506","2022-05-15",6,5.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"39","242TMP22051507","2022-05-15",7,4.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"40","242TMP22051508","2022-05-15",8,4.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"41","242TMP22051509","2022-05-15",9,7.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"42","242TMP22051510","2022-05-15",10,10.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"43","242TMP22051511","2022-05-15",11,12.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"44","242TMP22051512","2022-05-15",12,14.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"45","242TMP22051513","2022-05-15",13,15.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"46","242TMP22051514","2022-05-15",14,16.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"47","242TMP22051515","2022-05-15",15,17,1,"°C",242,"Ajusco Medio","AJM","TMP"
"48","242TMP22051516","2022-05-15",16,17.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"49","242TMP22051517","2022-05-15",17,17.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"50","242TMP22051518","2022-05-15",18,18,1,"°C",242,"Ajusco Medio","AJM","TMP"
"51","242TMP22051519","2022-05-15",19,17.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"52","242TMP22051520","2022-05-15",20,16.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"53","242TMP22051521","2022-05-15",21,14.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"54","242TMP22051522","2022-05-15",22,12,1,"°C",242,"Ajusco Medio","AJM","TMP"
"55","242TMP22051523","2022-05-15",23,10,1,"°C",242,"Ajusco Medio","AJM","TMP"
"56","242TMP22051600","2022-05-16",0,9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"57","242TMP22051601","2022-05-16",1,7.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"58","242TMP22051602","2022-05-16",2,6.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"59","242TMP22051603","2022-05-16",3,5.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"60","242TMP22051604","2022-05-16",4,5.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"61","242TMP22051605","2022-05-16",5,4.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"62","242TMP22051606","2022-05-16",6,3.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"63","242TMP22051607","2022-05-16",7,2.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"64","242TMP22051608","2022-05-16",8,3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"65","242TMP22051609","2022-05-16",9,6.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"66","242TMP22051610","2022-05-16",10,8.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"67","242TMP22051611","2022-05-16",11,10.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"68","242TMP22102816","2022-10-28",16,19.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"69","242TMP22102817","2022-10-28",17,20.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"70","242TMP22102818","2022-10-28",18,19.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"71","242TMP22102819","2022-10-28",19,18.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"72","242TMP22102820","2022-10-28",20,16.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"73","242TMP22102821","2022-10-28",21,15.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"74","242TMP22102822","2022-10-28",22,14.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"75","242TMP22102823","2022-10-28",23,13.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"76","242TMP22102900","2022-10-29",0,12.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"77","242TMP22102901","2022-10-29",1,13.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"78","242TMP22102902","2022-10-29",2,13.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"79","242TMP22102903","2022-10-29",3,12,1,"°C",242,"Ajusco Medio","AJM","TMP"
"80","242TMP22102904","2022-10-29",4,11.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"81","242TMP22102905","2022-10-29",5,10.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"82","242TMP22102906","2022-10-29",6,9.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"83","242TMP22102907","2022-10-29",7,9.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"84","242TMP22102908","2022-10-29",8,9.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"85","242TMP22102909","2022-10-29",9,9.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"86","242TMP22102910","2022-10-29",10,11.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"87","242TMP22102911","2022-10-29",11,13.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"88","242TMP22102912","2022-10-29",12,15.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"89","242TMP22102913","2022-10-29",13,16.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"90","242TMP22102914","2022-10-29",14,18.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"91","242TMP22102915","2022-10-29",15,19.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"92","242TMP22102916","2022-10-29",16,20.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"93","242TMP22102917","2022-10-29",17,20.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"94","242TMP22102918","2022-10-29",18,18.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"95","242TMP22102919","2022-10-29",19,18.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"96","242TMP22102920","2022-10-29",20,15.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"97","242TMP22102921","2022-10-29",21,14.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"98","242TMP22102922","2022-10-29",22,14.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"99","242TMP22102923","2022-10-29",23,13.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"100","242TMP22103000","2022-10-30",0,11.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"101","242TMP22103001","2022-10-30",1,12.3,1,"°C",242,"Ajusco Medio","AJM","TMP"
"102","242TMP22103002","2022-10-30",2,12,1,"°C",242,"Ajusco Medio","AJM","TMP"
"103","242TMP22103003","2022-10-30",3,11.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"104","242TMP22103004","2022-10-30",4,11.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"105","242TMP22103005","2022-10-30",5,10.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"106","242TMP22103006","2022-10-30",6,9.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"107","242TMP22103007","2022-10-30",7,9.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"108","242TMP22103008","2022-10-30",8,11,1,"°C",242,"Ajusco Medio","AJM","TMP"
"109","242TMP22103009","2022-10-30",9,13.7,1,"°C",242,"Ajusco Medio","AJM","TMP"
"110","242TMP22103010","2022-10-30",10,16,1,"°C",242,"Ajusco Medio","AJM","TMP"
"111","242TMP22103011","2022-10-30",11,16,1,"°C",242,"Ajusco Medio","AJM","TMP"
"112","242TMP22103012","2022-10-30",12,17.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
"113","242TMP22103013","2022-10-30",13,18.8,1,"°C",242,"Ajusco Medio","AJM","TMP"
"114","242TMP22103014","2022-10-30",14,19.4,1,"°C",242,"Ajusco Medio","AJM","TMP"
"115","242TMP22103015","2022-10-30",15,18.9,1,"°C",242,"Ajusco Medio","AJM","TMP"
"116","242TMP22103016","2022-10-30",16,18.6,1,"°C",242,"Ajusco Medio","AJM","TMP"
"117","242TMP22103017","2022-10-30",17,18.1,1,"°C",242,"Ajusco Medio","AJM","TMP"
"118","242TMP22103018","2022-10-30",18,16.5,1,"°C",242,"Ajusco Medio","AJM","TMP"
"119","242TMP22103019","2022-10-30",19,15.2,1,"°C",242,"Ajusco Medio","AJM","TMP"
