"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","300TMP22010100","2022-01-01",0,14.2,1,"°C",300,"Benito Juárez","TMP"
"2","300TMP22010101","2022-01-01",1,13.5,1,"°C",300,"Benito Juárez","TMP"
"3","300TMP22010102","2022-01-01",2,12.9,1,"°C",300,"Benito Juárez","TMP"
"4","300TMP22010103","2022-01-01",3,12.3,1,"°C",300,"Benito Juárez","TMP"
"5","300TMP22010104","2022-01-01",4,11.6,1,"°C",300,"Benito Juárez","TMP"
"6","300TMP22010105","2022-01-01",5,11.2,1,"°C",300,"Benito Juárez","TMP"
"7","300TMP22010106","2022-01-01",6,10.9,1,"°C",300,"Benito Juárez","TMP"
"8","300TMP22010107","2022-01-01",7,10.5,1,"°C",300,"Benito Juárez","TMP"
"9","300TMP22010108","2022-01-01",8,10.1,1,"°C",300,"Benito Juárez","TMP"
"10","300TMP22010109","2022-01-01",9,11.2,1,"°C",300,"Benito Juárez","TMP"
"11","300TMP22010110","2022-01-01",10,13.5,1,"°C",300,"Benito Juárez","TMP"
"12","300TMP22010111","2022-01-01",11,15.6,1,"°C",300,"Benito Juárez","TMP"
"13","300TMP22010112","2022-01-01",12,18,1,"°C",300,"Benito Juárez","TMP"
"14","300TMP22010113","2022-01-01",13,19.7,1,"°C",300,"Benito Juárez","TMP"
"15","300TMP22010114","2022-01-01",14,21.3,1,"°C",300,"Benito Juárez","TMP"
"16","300TMP22010115","2022-01-01",15,22.7,1,"°C",300,"Benito Juárez","TMP"
"17","300TMP22010116","2022-01-01",16,23.4,1,"°C",300,"Benito Juárez","TMP"
"18","300TMP22010117","2022-01-01",17,23.9,1,"°C",300,"Benito Juárez","TMP"
"19","300TMP22010118","2022-01-01",18,23.3,1,"°C",300,"Benito Juárez","TMP"
"20","300TMP22010119","2022-01-01",19,21.2,1,"°C",300,"Benito Juárez","TMP"
"21","300TMP22010120","2022-01-01",20,19.1,1,"°C",300,"Benito Juárez","TMP"
"22","300TMP22010121","2022-01-01",21,17.9,1,"°C",300,"Benito Juárez","TMP"
"23","300TMP22010122","2022-01-01",22,15.7,1,"°C",300,"Benito Juárez","TMP"
"24","300TMP22010123","2022-01-01",23,15,1,"°C",300,"Benito Juárez","TMP"
"25","300TMP22010200","2022-01-02",0,14.1,1,"°C",300,"Benito Juárez","TMP"
"26","300TMP22010201","2022-01-02",1,13.1,1,"°C",300,"Benito Juárez","TMP"
"27","300TMP22010202","2022-01-02",2,12.2,1,"°C",300,"Benito Juárez","TMP"
"28","300TMP22010203","2022-01-02",3,11.6,1,"°C",300,"Benito Juárez","TMP"
"29","300TMP22010204","2022-01-02",4,10.9,1,"°C",300,"Benito Juárez","TMP"
"30","300TMP22010205","2022-01-02",5,10.5,1,"°C",300,"Benito Juárez","TMP"
"31","300TMP22010206","2022-01-02",6,10.1,1,"°C",300,"Benito Juárez","TMP"
"32","300TMP22010207","2022-01-02",7,9.6,1,"°C",300,"Benito Juárez","TMP"
"33","300TMP22010208","2022-01-02",8,9.5,1,"°C",300,"Benito Juárez","TMP"
"34","300TMP22010209","2022-01-02",9,11.4,1,"°C",300,"Benito Juárez","TMP"
"35","300TMP22010210","2022-01-02",10,13.9,1,"°C",300,"Benito Juárez","TMP"
"36","300TMP22010211","2022-01-02",11,16.6,1,"°C",300,"Benito Juárez","TMP"
"37","300TMP22010212","2022-01-02",12,19.1,1,"°C",300,"Benito Juárez","TMP"
"38","300TMP22010213","2022-01-02",13,20.8,1,"°C",300,"Benito Juárez","TMP"
"39","300TMP22010214","2022-01-02",14,22,1,"°C",300,"Benito Juárez","TMP"
"40","300TMP22010215","2022-01-02",15,23,1,"°C",300,"Benito Juárez","TMP"
"41","300TMP22010216","2022-01-02",16,23.7,1,"°C",300,"Benito Juárez","TMP"
"42","300TMP22010217","2022-01-02",17,23,1,"°C",300,"Benito Juárez","TMP"
"43","300TMP22010218","2022-01-02",18,20.8,1,"°C",300,"Benito Juárez","TMP"
"44","300TMP22010219","2022-01-02",19,18.3,1,"°C",300,"Benito Juárez","TMP"
"45","300TMP22010220","2022-01-02",20,16,1,"°C",300,"Benito Juárez","TMP"
"46","300TMP22010221","2022-01-02",21,14.3,1,"°C",300,"Benito Juárez","TMP"
"47","300TMP22010222","2022-01-02",22,12.8,1,"°C",300,"Benito Juárez","TMP"
"48","300TMP22010223","2022-01-02",23,12.3,1,"°C",300,"Benito Juárez","TMP"
"49","300TMP22010300","2022-01-03",0,11.8,1,"°C",300,"Benito Juárez","TMP"
"50","300TMP22010301","2022-01-03",1,11.3,1,"°C",300,"Benito Juárez","TMP"
"51","300TMP22010302","2022-01-03",2,11.4,1,"°C",300,"Benito Juárez","TMP"
"52","300TMP22010303","2022-01-03",3,11.2,1,"°C",300,"Benito Juárez","TMP"
"53","300TMP22010304","2022-01-03",4,11.1,1,"°C",300,"Benito Juárez","TMP"
"54","300TMP22010305","2022-01-03",5,11,1,"°C",300,"Benito Juárez","TMP"
"55","300TMP22010306","2022-01-03",6,10.3,1,"°C",300,"Benito Juárez","TMP"
"56","300TMP22010307","2022-01-03",7,10,1,"°C",300,"Benito Juárez","TMP"
"57","300TMP22010308","2022-01-03",8,10.1,1,"°C",300,"Benito Juárez","TMP"
"58","300TMP22010309","2022-01-03",9,10.5,1,"°C",300,"Benito Juárez","TMP"
"59","300TMP22010310","2022-01-03",10,11.2,1,"°C",300,"Benito Juárez","TMP"
"60","300TMP22010311","2022-01-03",11,12.1,1,"°C",300,"Benito Juárez","TMP"
