"","parametro","id","date","hour","value","valid","unit","station_id","station_name"
"1","PM10","244PM1022010100","2022-01-01",0,36,1,"µg/m³",244,"Camarones"
"2","PM10","244PM1022010101","2022-01-01",1,56,1,"µg/m³",244,"Camarones"
"3","PM10","244PM1022010102","2022-01-01",2,55,1,"µg/m³",244,"Camarones"
"4","PM10","244PM1022010103","2022-01-01",3,86,1,"µg/m³",244,"Camarones"
"5","PM10","244PM1022010104","2022-01-01",4,98,1,"µg/m³",244,"Camarones"
"6","PM10","244PM1022010105","2022-01-01",5,123,1,"µg/m³",244,"Camarones"
"7","PM10","244PM1022010106","2022-01-01",6,130,1,"µg/m³",244,"Camarones"
"8","PM10","244PM1022010107","2022-01-01",7,112,1,"µg/m³",244,"Camarones"
"9","PM10","244PM1022010108","2022-01-01",8,100,1,"µg/m³",244,"Camarones"
"10","PM10","244PM1022010109","2022-01-01",9,94,1,"µg/m³",244,"Camarones"
"11","PM10","244PM1022010110","2022-01-01",10,69,1,"µg/m³",244,"Camarones"
"12","PM10","244PM1022010111","2022-01-01",11,82,1,"µg/m³",244,"Camarones"
"13","PM10","244PM1022010112","2022-01-01",12,99,1,"µg/m³",244,"Camarones"
"14","PM10","244PM1022010113","2022-01-01",13,134,1,"µg/m³",244,"Camarones"
"15","PM10","244PM1022010115","2022-01-01",15,57,1,"µg/m³",244,"Camarones"
"16","PM10","244PM1022010116","2022-01-01",16,36,1,"µg/m³",244,"Camarones"
"17","PM10","244PM1022010117","2022-01-01",17,21,1,"µg/m³",244,"Camarones"
"18","PM10","244PM1022010119","2022-01-01",19,16,1,"µg/m³",244,"Camarones"
"19","PM10","244PM1022010120","2022-01-01",20,7,1,"µg/m³",244,"Camarones"
"20","PM10","244PM1022010121","2022-01-01",21,13,1,"µg/m³",244,"Camarones"
"21","PM10","244PM1022010122","2022-01-01",22,25,1,"µg/m³",244,"Camarones"
"22","PM10","244PM1022010123","2022-01-01",23,54,1,"µg/m³",244,"Camarones"
"23","PM10","244PM1022010200","2022-01-02",0,42,1,"µg/m³",244,"Camarones"
"24","PM10","244PM1022010201","2022-01-02",1,40,1,"µg/m³",244,"Camarones"
"25","PM10","244PM1022010202","2022-01-02",2,21,1,"µg/m³",244,"Camarones"
"26","PM10","244PM1022010203","2022-01-02",3,11,1,"µg/m³",244,"Camarones"
"27","PM10","244PM1022010204","2022-01-02",4,12,1,"µg/m³",244,"Camarones"
"28","PM10","244PM1022010205","2022-01-02",5,5,1,"µg/m³",244,"Camarones"
"29","PM10","244PM1022010206","2022-01-02",6,4,1,"µg/m³",244,"Camarones"
"30","PM10","244PM1022010207","2022-01-02",7,3,1,"µg/m³",244,"Camarones"
"31","PM10","244PM1022010208","2022-01-02",8,7,1,"µg/m³",244,"Camarones"
"32","PM10","244PM1022010209","2022-01-02",9,14,1,"µg/m³",244,"Camarones"
"33","PM10","244PM1022010210","2022-01-02",10,23,1,"µg/m³",244,"Camarones"
"34","PM10","244PM1022010211","2022-01-02",11,23,1,"µg/m³",244,"Camarones"
"35","PM10","244PM1022010212","2022-01-02",12,25,1,"µg/m³",244,"Camarones"
"36","PM10","244PM1022010213","2022-01-02",13,10,1,"µg/m³",244,"Camarones"
"37","PM10","244PM1022010215","2022-01-02",15,15,1,"µg/m³",244,"Camarones"
"38","PM10","244PM1022010216","2022-01-02",16,21,1,"µg/m³",244,"Camarones"
"39","PM10","244PM1022010217","2022-01-02",17,50,1,"µg/m³",244,"Camarones"
"40","PM10","244PM1022010218","2022-01-02",18,70,1,"µg/m³",244,"Camarones"
"41","PM10","244PM1022010219","2022-01-02",19,115,1,"µg/m³",244,"Camarones"
"42","PM10","244PM1022010220","2022-01-02",20,207,1,"µg/m³",244,"Camarones"
"43","PM10","244PM1022010221","2022-01-02",21,41,1,"µg/m³",244,"Camarones"
"44","PM10","244PM1022010222","2022-01-02",22,27,1,"µg/m³",244,"Camarones"
"45","PM10","244PM1022010223","2022-01-02",23,13,1,"µg/m³",244,"Camarones"
"46","PM10","244PM1022010300","2022-01-03",0,5,1,"µg/m³",244,"Camarones"
"47","PM10","244PM1022010301","2022-01-03",1,5,1,"µg/m³",244,"Camarones"
"48","PM10","244PM1022010303","2022-01-03",3,3,1,"µg/m³",244,"Camarones"
"49","PM10","244PM1022010304","2022-01-03",4,15,1,"µg/m³",244,"Camarones"
"50","PM10","244PM1022010305","2022-01-03",5,6,1,"µg/m³",244,"Camarones"
"51","PM10","244PM1022010306","2022-01-03",6,18,1,"µg/m³",244,"Camarones"
"52","PM10","244PM1022010307","2022-01-03",7,25,1,"µg/m³",244,"Camarones"
"53","PM10","244PM1022010308","2022-01-03",8,11,1,"µg/m³",244,"Camarones"
"54","PM10","244PM1022010309","2022-01-03",9,29,1,"µg/m³",244,"Camarones"
"55","PM10","244PM1022010310","2022-01-03",10,41,1,"µg/m³",244,"Camarones"
"56","PM10","244PM1022010311","2022-01-03",11,54,1,"µg/m³",244,"Camarones"
"57","PM10","244PM1022010312","2022-01-03",12,61,1,"µg/m³",244,"Camarones"
"58","PM10","244PM1022010313","2022-01-03",13,45,1,"µg/m³",244,"Camarones"
"59","PM10","244PM1022010314","2022-01-03",14,55,1,"µg/m³",244,"Camarones"
"60","PM10","244PM1022010315","2022-01-03",15,92,1,"µg/m³",244,"Camarones"
"61","PM10","244PM1022010316","2022-01-03",16,88,1,"µg/m³",244,"Camarones"
"62","PM10","244PM1022010317","2022-01-03",17,78,1,"µg/m³",244,"Camarones"
"63","PM10","244PM1022010318","2022-01-03",18,80,1,"µg/m³",244,"Camarones"
"64","PM10","244PM1022010319","2022-01-03",19,70,1,"µg/m³",244,"Camarones"
"65","PM10","244PM1022010320","2022-01-03",20,72,1,"µg/m³",244,"Camarones"
"66","PM10","244PM1022010321","2022-01-03",21,40,1,"µg/m³",244,"Camarones"
"67","PM10","244PM1022010322","2022-01-03",22,33,1,"µg/m³",244,"Camarones"
"68","PM10","244PM1022010323","2022-01-03",23,57,1,"µg/m³",244,"Camarones"
"69","PM10","244PM1022010400","2022-01-04",0,54,1,"µg/m³",244,"Camarones"
"70","PM10","244PM1022010401","2022-01-04",1,49,1,"µg/m³",244,"Camarones"
"71","PM10","244PM1022010402","2022-01-04",2,61,1,"µg/m³",244,"Camarones"
"72","PM10","244PM1022010403","2022-01-04",3,42,1,"µg/m³",244,"Camarones"
"73","PM10","244PM1022010404","2022-01-04",4,34,1,"µg/m³",244,"Camarones"
"74","PM10","244PM1022010405","2022-01-04",5,52,1,"µg/m³",244,"Camarones"
"75","PM10","244PM1022010406","2022-01-04",6,90,1,"µg/m³",244,"Camarones"
"76","PM10","244PM1022010407","2022-01-04",7,47,1,"µg/m³",244,"Camarones"
"77","PM10","244PM1022010408","2022-01-04",8,66,1,"µg/m³",244,"Camarones"
"78","PM10","244PM1022010409","2022-01-04",9,77,1,"µg/m³",244,"Camarones"
"79","PM10","244PM1022021002","2022-02-10",2,32,1,"µg/m³",244,"Camarones"
"80","PM10","244PM1022021003","2022-02-10",3,28,1,"µg/m³",244,"Camarones"
"81","PM10","244PM1022021004","2022-02-10",4,22,1,"µg/m³",244,"Camarones"
"82","PM10","244PM1022021005","2022-02-10",5,31,1,"µg/m³",244,"Camarones"
"83","PM10","244PM1022021006","2022-02-10",6,52,1,"µg/m³",244,"Camarones"
"84","PM10","244PM1022021007","2022-02-10",7,61,1,"µg/m³",244,"Camarones"
"85","PM10","244PM1022021008","2022-02-10",8,75,1,"µg/m³",244,"Camarones"
"86","PM10","244PM1022021010","2022-02-10",10,72,1,"µg/m³",244,"Camarones"
"87","PM10","244PM1022021011","2022-02-10",11,36,1,"µg/m³",244,"Camarones"
"88","PM10","244PM1022021012","2022-02-10",12,31,1,"µg/m³",244,"Camarones"
"89","PM10","244PM1022021013","2022-02-10",13,23,1,"µg/m³",244,"Camarones"
"90","PM10","244PM1022021014","2022-02-10",14,37,1,"µg/m³",244,"Camarones"
"91","PM10","244PM1022021015","2022-02-10",15,23,1,"µg/m³",244,"Camarones"
"92","PM10","244PM1022021016","2022-02-10",16,25,1,"µg/m³",244,"Camarones"
"93","PM10","244PM1022021017","2022-02-10",17,38,1,"µg/m³",244,"Camarones"
"94","PM10","244PM1022021018","2022-02-10",18,55,1,"µg/m³",244,"Camarones"
"95","PM10","244PM1022021019","2022-02-10",19,30,1,"µg/m³",244,"Camarones"
"96","PM10","244PM1022021020","2022-02-10",20,41,1,"µg/m³",244,"Camarones"
"97","PM10","244PM1022021021","2022-02-10",21,24,1,"µg/m³",244,"Camarones"
"98","PM10","244PM1022021022","2022-02-10",22,21,1,"µg/m³",244,"Camarones"
"99","PM10","244PM1022021023","2022-02-10",23,13,1,"µg/m³",244,"Camarones"
"100","PM10","244PM1022021100","2022-02-11",0,9,1,"µg/m³",244,"Camarones"
"101","PM10","244PM1022021101","2022-02-11",1,22,1,"µg/m³",244,"Camarones"
"102","PM10","244PM1022021102","2022-02-11",2,11,1,"µg/m³",244,"Camarones"
"103","PM10","244PM1022021103","2022-02-11",3,22,1,"µg/m³",244,"Camarones"
"104","PM10","244PM1022021104","2022-02-11",4,16,1,"µg/m³",244,"Camarones"
"105","PM10","244PM1022021105","2022-02-11",5,43,1,"µg/m³",244,"Camarones"
"106","PM10","244PM1022021106","2022-02-11",6,50,1,"µg/m³",244,"Camarones"
"107","PM10","244PM1022021107","2022-02-11",7,63,1,"µg/m³",244,"Camarones"
"108","PM10","244PM1022021108","2022-02-11",8,116,1,"µg/m³",244,"Camarones"
"109","PM10","244PM1022021109","2022-02-11",9,123,1,"µg/m³",244,"Camarones"
"110","PM10","244PM1022021111","2022-02-11",11,29,1,"µg/m³",244,"Camarones"
"111","PM10","244PM1022021113","2022-02-11",13,17,1,"µg/m³",244,"Camarones"
"112","PM10","244PM1022021114","2022-02-11",14,45,1,"µg/m³",244,"Camarones"
"113","PM10","244PM1022021602","2022-02-16",2,27,1,"µg/m³",244,"Camarones"
"114","PM10","244PM1022021603","2022-02-16",3,28,1,"µg/m³",244,"Camarones"
"115","PM10","244PM1022021604","2022-02-16",4,40,1,"µg/m³",244,"Camarones"
"116","PM10","244PM1022021605","2022-02-16",5,29,1,"µg/m³",244,"Camarones"
"117","PM10","244PM1022021606","2022-02-16",6,33,1,"µg/m³",244,"Camarones"
"118","PM10","244PM1022021607","2022-02-16",7,60,1,"µg/m³",244,"Camarones"
"119","PM10","244PM1022021608","2022-02-16",8,16,1,"µg/m³",244,"Camarones"
"120","PM10","244PM1022021610","2022-02-16",10,58,1,"µg/m³",244,"Camarones"
"121","PM10","244PM1022021611","2022-02-16",11,64,1,"µg/m³",244,"Camarones"
"122","PM10","244PM1022021612","2022-02-16",12,65,1,"µg/m³",244,"Camarones"
"123","PM10","244PM1022021613","2022-02-16",13,40,1,"µg/m³",244,"Camarones"
"124","PM10","244PM1022021614","2022-02-16",14,21,1,"µg/m³",244,"Camarones"
"125","PM10","244PM1022021615","2022-02-16",15,32,1,"µg/m³",244,"Camarones"
"126","PM10","244PM1022021616","2022-02-16",16,27,1,"µg/m³",244,"Camarones"
"127","PM10","244PM1022021617","2022-02-16",17,24,1,"µg/m³",244,"Camarones"
"128","PM10","244PM1022021618","2022-02-16",18,34,1,"µg/m³",244,"Camarones"
"129","PM10","244PM1022021619","2022-02-16",19,26,1,"µg/m³",244,"Camarones"
"130","PM10","244PM1022021620","2022-02-16",20,42,1,"µg/m³",244,"Camarones"
"131","PM10","244PM1022021621","2022-02-16",21,26,1,"µg/m³",244,"Camarones"
"132","PM10","244PM1022021622","2022-02-16",22,28,1,"µg/m³",244,"Camarones"
"133","PM10","244PM1022021623","2022-02-16",23,19,1,"µg/m³",244,"Camarones"
"134","PM10","244PM1022021700","2022-02-17",0,9,1,"µg/m³",244,"Camarones"
"135","PM10","244PM1022021701","2022-02-17",1,6,1,"µg/m³",244,"Camarones"
"136","PM10","244PM1022021702","2022-02-17",2,18,1,"µg/m³",244,"Camarones"
"137","PM10","244PM1022021703","2022-02-17",3,24,1,"µg/m³",244,"Camarones"
"138","PM10","244PM1022021704","2022-02-17",4,23,1,"µg/m³",244,"Camarones"
"139","PM10","244PM1022021705","2022-02-17",5,25,1,"µg/m³",244,"Camarones"
"140","PM10","244PM1022021706","2022-02-17",6,27,1,"µg/m³",244,"Camarones"
"141","PM10","244PM1022021707","2022-02-17",7,54,1,"µg/m³",244,"Camarones"
"142","PM10","244PM1022021708","2022-02-17",8,79,1,"µg/m³",244,"Camarones"
"143","PM10","244PM1022021709","2022-02-17",9,112,1,"µg/m³",244,"Camarones"
"144","PM10","244PM1022021710","2022-02-17",10,63,1,"µg/m³",244,"Camarones"
"145","PM10","244PM1022021711","2022-02-17",11,73,1,"µg/m³",244,"Camarones"
"146","PM10","244PM1022021712","2022-02-17",12,69,1,"µg/m³",244,"Camarones"
"147","PM10","244PM1022021713","2022-02-17",13,70,1,"µg/m³",244,"Camarones"
"148","PM10","244PM1022021714","2022-02-17",14,40,1,"µg/m³",244,"Camarones"
"149","PM10","244PM1022021715","2022-02-17",15,53,1,"µg/m³",244,"Camarones"
"150","PM10","244PM1022021716","2022-02-17",16,41,1,"µg/m³",244,"Camarones"
"151","PM10","244PM1022021717","2022-02-17",17,39,1,"µg/m³",244,"Camarones"
"152","PM10","244PM1022021718","2022-02-17",18,45,1,"µg/m³",244,"Camarones"
