"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","246TMP22010101","2022-01-01",1,11.5,1,"°C",246,"Chalco","TMP"
"2","246TMP22010102","2022-01-01",2,11.2,1,"°C",246,"Chalco","TMP"
"3","246TMP22010103","2022-01-01",3,11.2,1,"°C",246,"Chalco","TMP"
"4","246TMP22010104","2022-01-01",4,10.6,1,"°C",246,"Chalco","TMP"
"5","246TMP22010105","2022-01-01",5,9.3,1,"°C",246,"Chalco","TMP"
"6","246TMP22010106","2022-01-01",6,8.9,1,"°C",246,"Chalco","TMP"
"7","246TMP22010107","2022-01-01",7,8,1,"°C",246,"Chalco","TMP"
"8","246TMP22010108","2022-01-01",8,6.9,1,"°C",246,"Chalco","TMP"
"9","246TMP22010109","2022-01-01",9,10,1,"°C",246,"Chalco","TMP"
"10","246TMP22010110","2022-01-01",10,14.4,1,"°C",246,"Chalco","TMP"
"11","246TMP22010111","2022-01-01",11,17.2,1,"°C",246,"Chalco","TMP"
"12","246TMP22010112","2022-01-01",12,19.8,1,"°C",246,"Chalco","TMP"
"13","246TMP22010113","2022-01-01",13,22.3,1,"°C",246,"Chalco","TMP"
"14","246TMP22010114","2022-01-01",14,23.6,1,"°C",246,"Chalco","TMP"
"15","246TMP22010115","2022-01-01",15,23.7,1,"°C",246,"Chalco","TMP"
"16","246TMP22010116","2022-01-01",16,24,1,"°C",246,"Chalco","TMP"
"17","246TMP22010117","2022-01-01",17,24,1,"°C",246,"Chalco","TMP"
"18","246TMP22010118","2022-01-01",18,23.5,1,"°C",246,"Chalco","TMP"
"19","246TMP22010119","2022-01-01",19,21.2,1,"°C",246,"Chalco","TMP"
"20","246TMP22010120","2022-01-01",20,18,1,"°C",246,"Chalco","TMP"
"21","246TMP22010121","2022-01-01",21,16,1,"°C",246,"Chalco","TMP"
"22","246TMP22010122","2022-01-01",22,13.9,1,"°C",246,"Chalco","TMP"
"23","246TMP22010200","2022-01-02",0,10.7,1,"°C",246,"Chalco","TMP"
"24","246TMP22010201","2022-01-02",1,9.8,1,"°C",246,"Chalco","TMP"
"25","246TMP22010202","2022-01-02",2,8.4,1,"°C",246,"Chalco","TMP"
"26","246TMP22010203","2022-01-02",3,7.7,1,"°C",246,"Chalco","TMP"
"27","246TMP22010204","2022-01-02",4,6.6,1,"°C",246,"Chalco","TMP"
"28","246TMP22010205","2022-01-02",5,5.8,1,"°C",246,"Chalco","TMP"
"29","246TMP22010206","2022-01-02",6,5.4,1,"°C",246,"Chalco","TMP"
"30","246TMP22010207","2022-01-02",7,4.5,1,"°C",246,"Chalco","TMP"
"31","246TMP22010210","2022-01-02",10,13.2,1,"°C",246,"Chalco","TMP"
"32","246TMP22010211","2022-01-02",11,16.5,1,"°C",246,"Chalco","TMP"
"33","246TMP22010212","2022-01-02",12,19.9,1,"°C",246,"Chalco","TMP"
"34","246TMP22010213","2022-01-02",13,21.9,1,"°C",246,"Chalco","TMP"
"35","246TMP22010214","2022-01-02",14,23.8,1,"°C",246,"Chalco","TMP"
"36","246TMP22010215","2022-01-02",15,24.4,1,"°C",246,"Chalco","TMP"
"37","246TMP22010216","2022-01-02",16,25,1,"°C",246,"Chalco","TMP"
"38","246TMP22010217","2022-01-02",17,24.1,1,"°C",246,"Chalco","TMP"
"39","246TMP22010218","2022-01-02",18,22.6,1,"°C",246,"Chalco","TMP"
"40","246TMP22010219","2022-01-02",19,20.8,1,"°C",246,"Chalco","TMP"
"41","246TMP22010220","2022-01-02",20,17.7,1,"°C",246,"Chalco","TMP"
"42","246TMP22010221","2022-01-02",21,15.4,1,"°C",246,"Chalco","TMP"
"43","246TMP22010222","2022-01-02",22,14.3,1,"°C",246,"Chalco","TMP"
"44","246TMP22010223","2022-01-02",23,13.4,1,"°C",246,"Chalco","TMP"
"45","246TMP22010300","2022-01-03",0,12.4,1,"°C",246,"Chalco","TMP"
"46","246TMP22010301","2022-01-03",1,11.3,1,"°C",246,"Chalco","TMP"
"47","246TMP22010302","2022-01-03",2,10.8,1,"°C",246,"Chalco","TMP"
"48","246TMP22010303","2022-01-03",3,10.3,1,"°C",246,"Chalco","TMP"
"49","246TMP22010304","2022-01-03",4,10.3,1,"°C",246,"Chalco","TMP"
"50","246TMP22010305","2022-01-03",5,10.5,1,"°C",246,"Chalco","TMP"
"51","246TMP22010306","2022-01-03",6,10.7,1,"°C",246,"Chalco","TMP"
"52","246TMP22010307","2022-01-03",7,10.8,1,"°C",246,"Chalco","TMP"
"53","246TMP22010308","2022-01-03",8,11.1,1,"°C",246,"Chalco","TMP"
"54","246TMP22010309","2022-01-03",9,11.4,1,"°C",246,"Chalco","TMP"
"55","246TMP22010310","2022-01-03",10,12.2,1,"°C",246,"Chalco","TMP"
"56","246TMP22010311","2022-01-03",11,14.3,1,"°C",246,"Chalco","TMP"
"57","246TMP22010312","2022-01-03",12,16.8,1,"°C",246,"Chalco","TMP"
"58","246TMP22010313","2022-01-03",13,18.1,1,"°C",246,"Chalco","TMP"
"59","246TMP22010314","2022-01-03",14,20.1,1,"°C",246,"Chalco","TMP"
"60","246TMP22010315","2022-01-03",15,20.2,1,"°C",246,"Chalco","TMP"
"61","246TMP22010316","2022-01-03",16,20.6,1,"°C",246,"Chalco","TMP"
"62","246TMP22010317","2022-01-03",17,20.8,1,"°C",246,"Chalco","TMP"
"63","246TMP22010318","2022-01-03",18,20.5,1,"°C",246,"Chalco","TMP"
"64","246TMP22010319","2022-01-03",19,19.1,1,"°C",246,"Chalco","TMP"
"65","246TMP22010320","2022-01-03",20,17,1,"°C",246,"Chalco","TMP"
"66","246TMP22010321","2022-01-03",21,15.5,1,"°C",246,"Chalco","TMP"
"67","246TMP22010322","2022-01-03",22,14.3,1,"°C",246,"Chalco","TMP"
"68","246TMP22010323","2022-01-03",23,12.9,1,"°C",246,"Chalco","TMP"
"69","246TMP22010400","2022-01-04",0,11.6,1,"°C",246,"Chalco","TMP"
"70","246TMP22010401","2022-01-04",1,10.8,1,"°C",246,"Chalco","TMP"
"71","246TMP22010402","2022-01-04",2,9.9,1,"°C",246,"Chalco","TMP"
"72","246TMP22010403","2022-01-04",3,9.3,1,"°C",246,"Chalco","TMP"
"73","246TMP22010404","2022-01-04",4,8.5,1,"°C",246,"Chalco","TMP"
