"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","250TMP22010100","2022-01-01",0,10.4,1,"°C",250,"FES Acatlán","FAC","TMP"
"2","250TMP22010101","2022-01-01",1,9.1,1,"°C",250,"FES Acatlán","FAC","TMP"
"3","250TMP22010102","2022-01-01",2,8.1,1,"°C",250,"FES Acatlán","FAC","TMP"
"4","250TMP22010103","2022-01-01",3,7.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"5","250TMP22010104","2022-01-01",4,6.6,1,"°C",250,"FES Acatlán","FAC","TMP"
"6","250TMP22010105","2022-01-01",5,6,1,"°C",250,"FES Acatlán","FAC","TMP"
"7","250TMP22010106","2022-01-01",6,5.8,1,"°C",250,"FES Acatlán","FAC","TMP"
"8","250TMP22010107","2022-01-01",7,5.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"9","250TMP22010108","2022-01-01",8,4.8,1,"°C",250,"FES Acatlán","FAC","TMP"
"10","250TMP22010109","2022-01-01",9,8.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"11","250TMP22010110","2022-01-01",10,14.6,1,"°C",250,"FES Acatlán","FAC","TMP"
"12","250TMP22010111","2022-01-01",11,18.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"13","250TMP22010112","2022-01-01",12,21.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"14","250TMP22010113","2022-01-01",13,23.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"15","250TMP22010114","2022-01-01",14,24.8,1,"°C",250,"FES Acatlán","FAC","TMP"
"16","250TMP22010115","2022-01-01",15,26.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"17","250TMP22010116","2022-01-01",16,26.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"18","250TMP22010117","2022-01-01",17,26,1,"°C",250,"FES Acatlán","FAC","TMP"
"19","250TMP22010118","2022-01-01",18,24.8,1,"°C",250,"FES Acatlán","FAC","TMP"
"20","250TMP22010119","2022-01-01",19,20.3,1,"°C",250,"FES Acatlán","FAC","TMP"
"21","250TMP22010120","2022-01-01",20,16.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"22","250TMP22010121","2022-01-01",21,13.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"23","250TMP22010122","2022-01-01",22,12.4,1,"°C",250,"FES Acatlán","FAC","TMP"
"24","250TMP22010123","2022-01-01",23,10.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"25","250TMP22010200","2022-01-02",0,9.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"26","250TMP22010201","2022-01-02",1,8.1,1,"°C",250,"FES Acatlán","FAC","TMP"
"27","250TMP22010202","2022-01-02",2,7.2,1,"°C",250,"FES Acatlán","FAC","TMP"
"28","250TMP22010203","2022-01-02",3,6.5,1,"°C",250,"FES Acatlán","FAC","TMP"
"29","250TMP22010204","2022-01-02",4,6,1,"°C",250,"FES Acatlán","FAC","TMP"
"30","250TMP22010205","2022-01-02",5,5.1,1,"°C",250,"FES Acatlán","FAC","TMP"
"31","250TMP22010206","2022-01-02",6,4.3,1,"°C",250,"FES Acatlán","FAC","TMP"
"32","250TMP22010207","2022-01-02",7,4,1,"°C",250,"FES Acatlán","FAC","TMP"
"33","250TMP22010208","2022-01-02",8,3.9,1,"°C",250,"FES Acatlán","FAC","TMP"
"34","250TMP22010209","2022-01-02",9,8.7,1,"°C",250,"FES Acatlán","FAC","TMP"
"35","250TMP22010210","2022-01-02",10,15.8,1,"°C",250,"FES Acatlán","FAC","TMP"
