"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","302TMP22010100","2022-01-01",0,15.5,1,"°C",302,"Gustavo A. Madero","TMP"
"2","302TMP22010101","2022-01-01",1,14.9,1,"°C",302,"Gustavo A. Madero","TMP"
"3","302TMP22010102","2022-01-01",2,14.3,1,"°C",302,"Gustavo A. Madero","TMP"
"4","302TMP22010103","2022-01-01",3,13.6,1,"°C",302,"Gustavo A. Madero","TMP"
"5","302TMP22010104","2022-01-01",4,13,1,"°C",302,"Gustavo A. Madero","TMP"
"6","302TMP22010105","2022-01-01",5,12.2,1,"°C",302,"Gustavo A. Madero","TMP"
"7","302TMP22010106","2022-01-01",6,11.4,1,"°C",302,"Gustavo A. Madero","TMP"
"8","302TMP22010107","2022-01-01",7,10.9,1,"°C",302,"Gustavo A. Madero","TMP"
"9","302TMP22010108","2022-01-01",8,10.1,1,"°C",302,"Gustavo A. Madero","TMP"
"10","302TMP22010109","2022-01-01",9,11.3,1,"°C",302,"Gustavo A. Madero","TMP"
"11","302TMP22010110","2022-01-01",10,13.8,1,"°C",302,"Gustavo A. Madero","TMP"
"12","302TMP22010111","2022-01-01",11,15.9,1,"°C",302,"Gustavo A. Madero","TMP"
"13","302TMP22010112","2022-01-01",12,18.5,1,"°C",302,"Gustavo A. Madero","TMP"
"14","302TMP22010113","2022-01-01",13,20.3,1,"°C",302,"Gustavo A. Madero","TMP"
"15","302TMP22010114","2022-01-01",14,22.1,1,"°C",302,"Gustavo A. Madero","TMP"
"16","302TMP22010115","2022-01-01",15,23.9,1,"°C",302,"Gustavo A. Madero","TMP"
"17","302TMP22010116","2022-01-01",16,24.8,1,"°C",302,"Gustavo A. Madero","TMP"
"18","302TMP22010117","2022-01-01",17,24.7,1,"°C",302,"Gustavo A. Madero","TMP"
"19","302TMP22010118","2022-01-01",18,23.9,1,"°C",302,"Gustavo A. Madero","TMP"
"20","302TMP22010119","2022-01-01",19,22.2,1,"°C",302,"Gustavo A. Madero","TMP"
"21","302TMP22010120","2022-01-01",20,20.5,1,"°C",302,"Gustavo A. Madero","TMP"
"22","302TMP22010121","2022-01-01",21,19.9,1,"°C",302,"Gustavo A. Madero","TMP"
"23","302TMP22010122","2022-01-01",22,17.7,1,"°C",302,"Gustavo A. Madero","TMP"
"24","302TMP22010123","2022-01-01",23,16.3,1,"°C",302,"Gustavo A. Madero","TMP"
"25","302TMP22010200","2022-01-02",0,15.7,1,"°C",302,"Gustavo A. Madero","TMP"
"26","302TMP22010201","2022-01-02",1,14.3,1,"°C",302,"Gustavo A. Madero","TMP"
"27","302TMP22010202","2022-01-02",2,13.7,1,"°C",302,"Gustavo A. Madero","TMP"
"28","302TMP22010203","2022-01-02",3,12.8,1,"°C",302,"Gustavo A. Madero","TMP"
"29","302TMP22010204","2022-01-02",4,12.1,1,"°C",302,"Gustavo A. Madero","TMP"
"30","302TMP22010205","2022-01-02",5,11.5,1,"°C",302,"Gustavo A. Madero","TMP"
"31","302TMP22010206","2022-01-02",6,10.4,1,"°C",302,"Gustavo A. Madero","TMP"
"32","302TMP22010207","2022-01-02",7,10.2,1,"°C",302,"Gustavo A. Madero","TMP"
"33","302TMP22010208","2022-01-02",8,10,1,"°C",302,"Gustavo A. Madero","TMP"
"34","302TMP22010209","2022-01-02",9,10.9,1,"°C",302,"Gustavo A. Madero","TMP"
"35","302TMP22010210","2022-01-02",10,14.1,1,"°C",302,"Gustavo A. Madero","TMP"
"36","302TMP22010211","2022-01-02",11,16.9,1,"°C",302,"Gustavo A. Madero","TMP"
"37","302TMP22010212","2022-01-02",12,19.6,1,"°C",302,"Gustavo A. Madero","TMP"
"38","302TMP22010213","2022-01-02",13,21.8,1,"°C",302,"Gustavo A. Madero","TMP"
"39","302TMP22010214","2022-01-02",14,23.2,1,"°C",302,"Gustavo A. Madero","TMP"
"40","302TMP22010215","2022-01-02",15,24.4,1,"°C",302,"Gustavo A. Madero","TMP"
"41","302TMP22010216","2022-01-02",16,24.4,1,"°C",302,"Gustavo A. Madero","TMP"
"42","302TMP22010217","2022-01-02",17,22.7,1,"°C",302,"Gustavo A. Madero","TMP"
"43","302TMP22010218","2022-01-02",18,20.7,1,"°C",302,"Gustavo A. Madero","TMP"
"44","302TMP22010219","2022-01-02",19,18.1,1,"°C",302,"Gustavo A. Madero","TMP"
"45","302TMP22010220","2022-01-02",20,16.3,1,"°C",302,"Gustavo A. Madero","TMP"
"46","302TMP22010221","2022-01-02",21,14.8,1,"°C",302,"Gustavo A. Madero","TMP"
"47","302TMP22010222","2022-01-02",22,13.7,1,"°C",302,"Gustavo A. Madero","TMP"
"48","302TMP22010223","2022-01-02",23,12.7,1,"°C",302,"Gustavo A. Madero","TMP"
"49","302TMP22010304","2022-01-03",4,11,1,"°C",302,"Gustavo A. Madero","TMP"
"50","302TMP22010305","2022-01-03",5,10.7,1,"°C",302,"Gustavo A. Madero","TMP"
"51","302TMP22010306","2022-01-03",6,9.9,1,"°C",302,"Gustavo A. Madero","TMP"
"52","302TMP22010307","2022-01-03",7,9.8,1,"°C",302,"Gustavo A. Madero","TMP"
"53","302TMP22010308","2022-01-03",8,9.9,1,"°C",302,"Gustavo A. Madero","TMP"
"54","302TMP22010309","2022-01-03",9,10.2,1,"°C",302,"Gustavo A. Madero","TMP"
"55","302TMP22010310","2022-01-03",10,11,1,"°C",302,"Gustavo A. Madero","TMP"
