"","parametro","id","date","hour","value","valid","unit","station_id","station_name"
"1","PM10","252PM1022010100","2022-01-01",0,79,1,"µg/m³",252,"Iztacalco"
"2","PM10","252PM1022010102","2022-01-01",2,116,1,"µg/m³",252,"Iztacalco"
"3","PM10","252PM1022010103","2022-01-01",3,173,1,"µg/m³",252,"Iztacalco"
"4","PM10","252PM1022010104","2022-01-01",4,178,1,"µg/m³",252,"Iztacalco"
"5","PM10","252PM1022010105","2022-01-01",5,171,1,"µg/m³",252,"Iztacalco"
"6","PM10","252PM1022010106","2022-01-01",6,145,1,"µg/m³",252,"Iztacalco"
"7","PM10","252PM1022010107","2022-01-01",7,165,1,"µg/m³",252,"Iztacalco"
"8","PM10","252PM1022010108","2022-01-01",8,169,1,"µg/m³",252,"Iztacalco"
"9","PM10","252PM1022010109","2022-01-01",9,188,1,"µg/m³",252,"Iztacalco"
"10","PM10","252PM1022010110","2022-01-01",10,184,1,"µg/m³",252,"Iztacalco"
"11","PM10","252PM1022010111","2022-01-01",11,207,1,"µg/m³",252,"Iztacalco"
"12","PM10","252PM1022010112","2022-01-01",12,210,1,"µg/m³",252,"Iztacalco"
"13","PM10","252PM1022010113","2022-01-01",13,154,1,"µg/m³",252,"Iztacalco"
"14","PM10","252PM1022010114","2022-01-01",14,80,1,"µg/m³",252,"Iztacalco"
"15","PM10","252PM1022010115","2022-01-01",15,53,1,"µg/m³",252,"Iztacalco"
"16","PM10","252PM1022010116","2022-01-01",16,69,1,"µg/m³",252,"Iztacalco"
"17","PM10","252PM1022010117","2022-01-01",17,37,1,"µg/m³",252,"Iztacalco"
"18","PM10","252PM1022010118","2022-01-01",18,41,1,"µg/m³",252,"Iztacalco"
"19","PM10","252PM1022010119","2022-01-01",19,36,1,"µg/m³",252,"Iztacalco"
"20","PM10","252PM1022010120","2022-01-01",20,62,1,"µg/m³",252,"Iztacalco"
"21","PM10","252PM1022010121","2022-01-01",21,98,1,"µg/m³",252,"Iztacalco"
