"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","256TMP22010100","2022-01-01",0,15.4,1,"°C",256,"Merced","TMP"
"2","256TMP22010101","2022-01-01",1,14.6,1,"°C",256,"Merced","TMP"
"3","256TMP22010102","2022-01-01",2,13.7,1,"°C",256,"Merced","TMP"
"4","256TMP22010103","2022-01-01",3,13.3,1,"°C",256,"Merced","TMP"
"5","256TMP22010104","2022-01-01",4,12.7,1,"°C",256,"Merced","TMP"
"6","256TMP22010105","2022-01-01",5,12.3,1,"°C",256,"Merced","TMP"
"7","256TMP22010106","2022-01-01",6,11.9,1,"°C",256,"Merced","TMP"
"8","256TMP22010107","2022-01-01",7,11.2,1,"°C",256,"Merced","TMP"
"9","256TMP22010108","2022-01-01",8,10.6,1,"°C",256,"Merced","TMP"
"10","256TMP22010109","2022-01-01",9,11.9,1,"°C",256,"Merced","TMP"
"11","256TMP22010110","2022-01-01",10,13.8,1,"°C",256,"Merced","TMP"
"12","256TMP22010111","2022-01-01",11,16,1,"°C",256,"Merced","TMP"
"13","256TMP22010112","2022-01-01",12,18.2,1,"°C",256,"Merced","TMP"
"14","256TMP22010113","2022-01-01",13,20.4,1,"°C",256,"Merced","TMP"
"15","256TMP22010114","2022-01-01",14,22.3,1,"°C",256,"Merced","TMP"
"16","256TMP22010115","2022-01-01",15,23.3,1,"°C",256,"Merced","TMP"
"17","256TMP22010116","2022-01-01",16,24.3,1,"°C",256,"Merced","TMP"
"18","256TMP22010117","2022-01-01",17,24.7,1,"°C",256,"Merced","TMP"
"19","256TMP22010118","2022-01-01",18,24.2,1,"°C",256,"Merced","TMP"
"20","256TMP22010119","2022-01-01",19,22.7,1,"°C",256,"Merced","TMP"
"21","256TMP22010120","2022-01-01",20,21,1,"°C",256,"Merced","TMP"
"22","256TMP22010121","2022-01-01",21,19.6,1,"°C",256,"Merced","TMP"
"23","256TMP22010122","2022-01-01",22,17.5,1,"°C",256,"Merced","TMP"
"24","256TMP22010123","2022-01-01",23,16.4,1,"°C",256,"Merced","TMP"
"25","256TMP22010200","2022-01-02",0,15.5,1,"°C",256,"Merced","TMP"
"26","256TMP22010201","2022-01-02",1,14.3,1,"°C",256,"Merced","TMP"
"27","256TMP22010202","2022-01-02",2,13.4,1,"°C",256,"Merced","TMP"
"28","256TMP22010203","2022-01-02",3,12.5,1,"°C",256,"Merced","TMP"
"29","256TMP22010204","2022-01-02",4,12.3,1,"°C",256,"Merced","TMP"
"30","256TMP22010205","2022-01-02",5,11.7,1,"°C",256,"Merced","TMP"
"31","256TMP22010206","2022-01-02",6,10.8,1,"°C",256,"Merced","TMP"
"32","256TMP22010207","2022-01-02",7,10.1,1,"°C",256,"Merced","TMP"
"33","256TMP22010208","2022-01-02",8,10.1,1,"°C",256,"Merced","TMP"
"34","256TMP22010209","2022-01-02",9,12,1,"°C",256,"Merced","TMP"
"35","256TMP22010210","2022-01-02",10,14.5,1,"°C",256,"Merced","TMP"
"36","256TMP22010211","2022-01-02",11,17.2,1,"°C",256,"Merced","TMP"
"37","256TMP22010212","2022-01-02",12,19.9,1,"°C",256,"Merced","TMP"
"38","256TMP22010213","2022-01-02",13,21.5,1,"°C",256,"Merced","TMP"
"39","256TMP22010214","2022-01-02",14,23.1,1,"°C",256,"Merced","TMP"
"40","256TMP22010215","2022-01-02",15,24.2,1,"°C",256,"Merced","TMP"
"41","256TMP22010216","2022-01-02",16,24.7,1,"°C",256,"Merced","TMP"
"42","256TMP22010217","2022-01-02",17,23.3,1,"°C",256,"Merced","TMP"
"43","256TMP22010218","2022-01-02",18,21.1,1,"°C",256,"Merced","TMP"
"44","256TMP22010219","2022-01-02",19,19,1,"°C",256,"Merced","TMP"
"45","256TMP22010220","2022-01-02",20,16.5,1,"°C",256,"Merced","TMP"
"46","256TMP22010221","2022-01-02",21,14.3,1,"°C",256,"Merced","TMP"
"47","256TMP22010222","2022-01-02",22,13,1,"°C",256,"Merced","TMP"
"48","256TMP22010223","2022-01-02",23,12.2,1,"°C",256,"Merced","TMP"
"49","256TMP22010300","2022-01-03",0,11.8,1,"°C",256,"Merced","TMP"
"50","256TMP22010301","2022-01-03",1,11.2,1,"°C",256,"Merced","TMP"
"51","256TMP22010302","2022-01-03",2,10.9,1,"°C",256,"Merced","TMP"
"52","256TMP22010303","2022-01-03",3,11.2,1,"°C",256,"Merced","TMP"
"53","256TMP22010304","2022-01-03",4,11.1,1,"°C",256,"Merced","TMP"
"54","256TMP22010305","2022-01-03",5,10.5,1,"°C",256,"Merced","TMP"
"55","256TMP22010306","2022-01-03",6,9.5,1,"°C",256,"Merced","TMP"
"56","256TMP22010307","2022-01-03",7,10.1,1,"°C",256,"Merced","TMP"
"57","256TMP22010308","2022-01-03",8,10.3,1,"°C",256,"Merced","TMP"
"58","256TMP22010309","2022-01-03",9,10.8,1,"°C",256,"Merced","TMP"
"59","256TMP22010310","2022-01-03",10,11.5,1,"°C",256,"Merced","TMP"
"60","256TMP22010311","2022-01-03",11,12.4,1,"°C",256,"Merced","TMP"
"61","256TMP22010312","2022-01-03",12,14.2,1,"°C",256,"Merced","TMP"
"62","256TMP22010313","2022-01-03",13,16,1,"°C",256,"Merced","TMP"
"63","256TMP22010314","2022-01-03",14,18.1,1,"°C",256,"Merced","TMP"
"64","256TMP22010315","2022-01-03",15,19.8,1,"°C",256,"Merced","TMP"
"65","256TMP22010316","2022-01-03",16,20.6,1,"°C",256,"Merced","TMP"
"66","256TMP22010317","2022-01-03",17,20.9,1,"°C",256,"Merced","TMP"
"67","256TMP22010318","2022-01-03",18,20.9,1,"°C",256,"Merced","TMP"
"68","256TMP22010319","2022-01-03",19,20.2,1,"°C",256,"Merced","TMP"
"69","256TMP22010320","2022-01-03",20,18.7,1,"°C",256,"Merced","TMP"
"70","256TMP22010321","2022-01-03",21,17.4,1,"°C",256,"Merced","TMP"
"71","256TMP22010322","2022-01-03",22,16.5,1,"°C",256,"Merced","TMP"
"72","256TMP22010323","2022-01-03",23,15.9,1,"°C",256,"Merced","TMP"
"73","256TMP22010400","2022-01-04",0,15.1,1,"°C",256,"Merced","TMP"
"74","256TMP22010401","2022-01-04",1,14.5,1,"°C",256,"Merced","TMP"
"75","256TMP22010402","2022-01-04",2,13.4,1,"°C",256,"Merced","TMP"
"76","256TMP22010403","2022-01-04",3,12.4,1,"°C",256,"Merced","TMP"
"77","256TMP22010404","2022-01-04",4,11.6,1,"°C",256,"Merced","TMP"
"78","256TMP22010405","2022-01-04",5,11,1,"°C",256,"Merced","TMP"
"79","256TMP22010406","2022-01-04",6,10.5,1,"°C",256,"Merced","TMP"
"80","256TMP22010407","2022-01-04",7,10.8,1,"°C",256,"Merced","TMP"
"81","256TMP22010408","2022-01-04",8,10.9,1,"°C",256,"Merced","TMP"
"82","256TMP22010409","2022-01-04",9,11.6,1,"°C",256,"Merced","TMP"
"83","256TMP22010410","2022-01-04",10,13.5,1,"°C",256,"Merced","TMP"
"84","256TMP22010411","2022-01-04",11,16.1,1,"°C",256,"Merced","TMP"
"85","256TMP22010412","2022-01-04",12,18.5,1,"°C",256,"Merced","TMP"
"86","256TMP22010413","2022-01-04",13,20.5,1,"°C",256,"Merced","TMP"
"87","256TMP22010414","2022-01-04",14,21.9,1,"°C",256,"Merced","TMP"
"88","256TMP22010415","2022-01-04",15,23.5,1,"°C",256,"Merced","TMP"
"89","256TMP22010416","2022-01-04",16,24,1,"°C",256,"Merced","TMP"
"90","256TMP22010417","2022-01-04",17,24.3,1,"°C",256,"Merced","TMP"
"91","256TMP22010418","2022-01-04",18,24,1,"°C",256,"Merced","TMP"
"92","256TMP22010419","2022-01-04",19,22.7,1,"°C",256,"Merced","TMP"
"93","256TMP22010420","2022-01-04",20,20.1,1,"°C",256,"Merced","TMP"
"94","256TMP22010421","2022-01-04",21,18.6,1,"°C",256,"Merced","TMP"
"95","256TMP22010422","2022-01-04",22,17.4,1,"°C",256,"Merced","TMP"
"96","256TMP22010423","2022-01-04",23,17,1,"°C",256,"Merced","TMP"
"97","256TMP22010500","2022-01-05",0,15.9,1,"°C",256,"Merced","TMP"
"98","256TMP22010501","2022-01-05",1,15.4,1,"°C",256,"Merced","TMP"
"99","256TMP22010502","2022-01-05",2,14.6,1,"°C",256,"Merced","TMP"
"100","256TMP22010503","2022-01-05",3,13,1,"°C",256,"Merced","TMP"
"101","256TMP22010504","2022-01-05",4,12.4,1,"°C",256,"Merced","TMP"
"102","256TMP22010505","2022-01-05",5,11.4,1,"°C",256,"Merced","TMP"
"103","256TMP22010506","2022-01-05",6,11,1,"°C",256,"Merced","TMP"
"104","256TMP22010507","2022-01-05",7,10.9,1,"°C",256,"Merced","TMP"
"105","256TMP22010508","2022-01-05",8,10.9,1,"°C",256,"Merced","TMP"
"106","256TMP22010509","2022-01-05",9,12.1,1,"°C",256,"Merced","TMP"
"107","256TMP22010510","2022-01-05",10,14.6,1,"°C",256,"Merced","TMP"
"108","256TMP22010511","2022-01-05",11,17.1,1,"°C",256,"Merced","TMP"
"109","256TMP22010512","2022-01-05",12,20.1,1,"°C",256,"Merced","TMP"
"110","256TMP22010513","2022-01-05",13,22.3,1,"°C",256,"Merced","TMP"
"111","256TMP22010514","2022-01-05",14,23.3,1,"°C",256,"Merced","TMP"
"112","256TMP22010515","2022-01-05",15,24.4,1,"°C",256,"Merced","TMP"
"113","256TMP22010516","2022-01-05",16,24.6,1,"°C",256,"Merced","TMP"
"114","256TMP22010517","2022-01-05",17,24.7,1,"°C",256,"Merced","TMP"
"115","256TMP22010518","2022-01-05",18,24.3,1,"°C",256,"Merced","TMP"
"116","256TMP22010519","2022-01-05",19,22.3,1,"°C",256,"Merced","TMP"
"117","256TMP22010520","2022-01-05",20,20.3,1,"°C",256,"Merced","TMP"
"118","256TMP22010521","2022-01-05",21,19,1,"°C",256,"Merced","TMP"
"119","256TMP22010522","2022-01-05",22,18.1,1,"°C",256,"Merced","TMP"
"120","256TMP22010523","2022-01-05",23,17.4,1,"°C",256,"Merced","TMP"
"121","256TMP22010600","2022-01-06",0,16.8,1,"°C",256,"Merced","TMP"
"122","256TMP22010601","2022-01-06",1,15.9,1,"°C",256,"Merced","TMP"
"123","256TMP22010602","2022-01-06",2,15.1,1,"°C",256,"Merced","TMP"
"124","256TMP22010603","2022-01-06",3,14.3,1,"°C",256,"Merced","TMP"
"125","256TMP22010604","2022-01-06",4,13.5,1,"°C",256,"Merced","TMP"
"126","256TMP22010605","2022-01-06",5,13,1,"°C",256,"Merced","TMP"
"127","256TMP22010606","2022-01-06",6,12.5,1,"°C",256,"Merced","TMP"
"128","256TMP22010607","2022-01-06",7,11.9,1,"°C",256,"Merced","TMP"
"129","256TMP22010608","2022-01-06",8,11.9,1,"°C",256,"Merced","TMP"
"130","256TMP22010609","2022-01-06",9,13.7,1,"°C",256,"Merced","TMP"
"131","256TMP22010610","2022-01-06",10,15.7,1,"°C",256,"Merced","TMP"
"132","256TMP22010611","2022-01-06",11,18,1,"°C",256,"Merced","TMP"
"133","256TMP22010612","2022-01-06",12,20.4,1,"°C",256,"Merced","TMP"
"134","256TMP22010613","2022-01-06",13,22.3,1,"°C",256,"Merced","TMP"
"135","256TMP22010614","2022-01-06",14,23.7,1,"°C",256,"Merced","TMP"
"136","256TMP22010615","2022-01-06",15,24.5,1,"°C",256,"Merced","TMP"
"137","256TMP22010616","2022-01-06",16,23.9,1,"°C",256,"Merced","TMP"
"138","256TMP22010617","2022-01-06",17,23.1,1,"°C",256,"Merced","TMP"
"139","256TMP22010618","2022-01-06",18,22.4,1,"°C",256,"Merced","TMP"
"140","256TMP22010619","2022-01-06",19,16.4,1,"°C",256,"Merced","TMP"
"141","256TMP22010620","2022-01-06",20,15.3,1,"°C",256,"Merced","TMP"
"142","256TMP22010621","2022-01-06",21,16.5,1,"°C",256,"Merced","TMP"
"143","256TMP22010622","2022-01-06",22,15.9,1,"°C",256,"Merced","TMP"
"144","256TMP22010623","2022-01-06",23,15.4,1,"°C",256,"Merced","TMP"
"145","256TMP22010700","2022-01-07",0,14.9,1,"°C",256,"Merced","TMP"
"146","256TMP22010701","2022-01-07",1,14.3,1,"°C",256,"Merced","TMP"
"147","256TMP22010702","2022-01-07",2,13.9,1,"°C",256,"Merced","TMP"
"148","256TMP22010703","2022-01-07",3,12.5,1,"°C",256,"Merced","TMP"
