"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","258TMP22010100","2022-01-01",0,16,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"2","258TMP22010101","2022-01-01",1,15.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"3","258TMP22010102","2022-01-01",2,14.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"4","258TMP22010103","2022-01-01",3,14.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"5","258TMP22010104","2022-01-01",4,13.6,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"6","258TMP22010105","2022-01-01",5,13,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"7","258TMP22010106","2022-01-01",6,11.5,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"8","258TMP22010107","2022-01-01",7,11.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"9","258TMP22010108","2022-01-01",8,10.8,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"10","258TMP22010109","2022-01-01",9,11.6,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"11","258TMP22010110","2022-01-01",10,13.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"12","258TMP22010111","2022-01-01",11,15.4,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"13","258TMP22010112","2022-01-01",12,18.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"14","258TMP22010113","2022-01-01",13,20.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"15","258TMP22010114","2022-01-01",14,21.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"16","258TMP22010115","2022-01-01",15,23,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"17","258TMP22010116","2022-01-01",16,23.7,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"18","258TMP22010117","2022-01-01",17,24.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"19","258TMP22010118","2022-01-01",18,24,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"20","258TMP22010119","2022-01-01",19,23,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"21","258TMP22010120","2022-01-01",20,21.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"22","258TMP22010121","2022-01-01",21,19.5,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"23","258TMP22010122","2022-01-01",22,18.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"24","258TMP22010123","2022-01-01",23,16.6,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"25","258TMP22010200","2022-01-02",0,16,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"26","258TMP22010201","2022-01-02",1,14.8,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"27","258TMP22010202","2022-01-02",2,13.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"28","258TMP22010203","2022-01-02",3,13.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"29","258TMP22010204","2022-01-02",4,12.6,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"30","258TMP22010205","2022-01-02",5,12,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"31","258TMP22010206","2022-01-02",6,11,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"32","258TMP22010207","2022-01-02",7,10.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"33","258TMP22010208","2022-01-02",8,9.8,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"34","258TMP22010209","2022-01-02",9,11.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"35","258TMP22010210","2022-01-02",10,12.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"36","258TMP22010211","2022-01-02",11,16,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"37","258TMP22010212","2022-01-02",12,18.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"38","258TMP22010213","2022-01-02",13,21.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"39","258TMP22010214","2022-01-02",14,22.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"40","258TMP22010215","2022-01-02",15,24.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"41","258TMP22010216","2022-01-02",16,24.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"42","258TMP22010217","2022-01-02",17,23,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"43","258TMP22010218","2022-01-02",18,21.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"44","258TMP22010219","2022-01-02",19,18.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"45","258TMP22010220","2022-01-02",20,16.4,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"46","258TMP22010221","2022-01-02",21,15.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"47","258TMP22010222","2022-01-02",22,14.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"48","258TMP22010223","2022-01-02",23,13.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"49","258TMP22010300","2022-01-03",0,12.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"50","258TMP22010301","2022-01-03",1,11.4,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"51","258TMP22010302","2022-01-03",2,10.6,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"52","258TMP22010303","2022-01-03",3,10.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"53","258TMP22010304","2022-01-03",4,10,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"54","258TMP22010305","2022-01-03",5,9.9,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"55","258TMP22010306","2022-01-03",6,9.7,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"56","258TMP22010307","2022-01-03",7,9.8,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"57","258TMP22010308","2022-01-03",8,10,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"58","258TMP22010309","2022-01-03",9,10.5,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"59","258TMP22010310","2022-01-03",10,11.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"60","258TMP22010311","2022-01-03",11,12.2,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"61","258TMP22010312","2022-01-03",12,13.5,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"62","258TMP22010313","2022-01-03",13,15.3,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"63","258TMP22010314","2022-01-03",14,17.4,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
"64","258TMP22010315","2022-01-03",15,19.1,1,"°C",258,"Nezahualcóyotl","NEZ","TMP"
