"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","260TMP22011316","2022-01-13",16,21.4,1,"°C",260,"San Agustín","TMP"
"2","260TMP22011317","2022-01-13",17,21.1,1,"°C",260,"San Agustín","TMP"
"3","260TMP22011318","2022-01-13",18,20.5,1,"°C",260,"San Agustín","TMP"
"4","260TMP22011319","2022-01-13",19,19.3,1,"°C",260,"San Agustín","TMP"
"5","260TMP22011320","2022-01-13",20,18.2,1,"°C",260,"San Agustín","TMP"
"6","260TMP22011321","2022-01-13",21,16.3,1,"°C",260,"San Agustín","TMP"
"7","260TMP22011322","2022-01-13",22,15.8,1,"°C",260,"San Agustín","TMP"
"8","260TMP22011323","2022-01-13",23,15.5,1,"°C",260,"San Agustín","TMP"
"9","260TMP22011400","2022-01-14",0,14.6,1,"°C",260,"San Agustín","TMP"
"10","260TMP22011401","2022-01-14",1,13.3,1,"°C",260,"San Agustín","TMP"
"11","260TMP22011402","2022-01-14",2,11.4,1,"°C",260,"San Agustín","TMP"
"12","260TMP22011403","2022-01-14",3,10.6,1,"°C",260,"San Agustín","TMP"
"13","260TMP22011404","2022-01-14",4,9.9,1,"°C",260,"San Agustín","TMP"
"14","260TMP22011405","2022-01-14",5,9.5,1,"°C",260,"San Agustín","TMP"
"15","260TMP22011406","2022-01-14",6,9,1,"°C",260,"San Agustín","TMP"
"16","260TMP22011407","2022-01-14",7,8.6,1,"°C",260,"San Agustín","TMP"
"17","260TMP22011408","2022-01-14",8,8.5,1,"°C",260,"San Agustín","TMP"
"18","260TMP22011409","2022-01-14",9,9.2,1,"°C",260,"San Agustín","TMP"
"19","260TMP22011410","2022-01-14",10,11.7,1,"°C",260,"San Agustín","TMP"
"20","260TMP22011411","2022-01-14",11,15,1,"°C",260,"San Agustín","TMP"
"21","260TMP22011412","2022-01-14",12,17.8,1,"°C",260,"San Agustín","TMP"
"22","260TMP22011413","2022-01-14",13,19.7,1,"°C",260,"San Agustín","TMP"
"23","260TMP22011414","2022-01-14",14,20.6,1,"°C",260,"San Agustín","TMP"
"24","260TMP22011415","2022-01-14",15,22,1,"°C",260,"San Agustín","TMP"
"25","260TMP22011416","2022-01-14",16,22.5,1,"°C",260,"San Agustín","TMP"
"26","260TMP22011417","2022-01-14",17,22.4,1,"°C",260,"San Agustín","TMP"
"27","260TMP22011418","2022-01-14",18,21.7,1,"°C",260,"San Agustín","TMP"
"28","260TMP22011419","2022-01-14",19,20.6,1,"°C",260,"San Agustín","TMP"
"29","260TMP22011420","2022-01-14",20,18.2,1,"°C",260,"San Agustín","TMP"
"30","260TMP22011421","2022-01-14",21,16.7,1,"°C",260,"San Agustín","TMP"
"31","260TMP22011422","2022-01-14",22,15.9,1,"°C",260,"San Agustín","TMP"
"32","260TMP22011423","2022-01-14",23,15.3,1,"°C",260,"San Agustín","TMP"
"33","260TMP22011500","2022-01-15",0,14.6,1,"°C",260,"San Agustín","TMP"
"34","260TMP22011501","2022-01-15",1,14.1,1,"°C",260,"San Agustín","TMP"
"35","260TMP22011502","2022-01-15",2,13.2,1,"°C",260,"San Agustín","TMP"
"36","260TMP22011503","2022-01-15",3,12.3,1,"°C",260,"San Agustín","TMP"
"37","260TMP22011504","2022-01-15",4,10.5,1,"°C",260,"San Agustín","TMP"
"38","260TMP22011505","2022-01-15",5,11.3,1,"°C",260,"San Agustín","TMP"
"39","260TMP22011506","2022-01-15",6,10.4,1,"°C",260,"San Agustín","TMP"
"40","260TMP22011507","2022-01-15",7,9.9,1,"°C",260,"San Agustín","TMP"
"41","260TMP22011508","2022-01-15",8,9.1,1,"°C",260,"San Agustín","TMP"
"42","260TMP22011509","2022-01-15",9,9.7,1,"°C",260,"San Agustín","TMP"
"43","260TMP22011510","2022-01-15",10,12.8,1,"°C",260,"San Agustín","TMP"
"44","260TMP22011511","2022-01-15",11,12.8,1,"°C",260,"San Agustín","TMP"
"45","260TMP22011512","2022-01-15",12,18.4,1,"°C",260,"San Agustín","TMP"
"46","260TMP22011513","2022-01-15",13,20.2,1,"°C",260,"San Agustín","TMP"
"47","260TMP22011514","2022-01-15",14,21,1,"°C",260,"San Agustín","TMP"
"48","260TMP22011515","2022-01-15",15,21.5,1,"°C",260,"San Agustín","TMP"
"49","260TMP22011516","2022-01-15",16,21.8,1,"°C",260,"San Agustín","TMP"
"50","260TMP22011517","2022-01-15",17,21.5,1,"°C",260,"San Agustín","TMP"
"51","260TMP22011518","2022-01-15",18,20.8,1,"°C",260,"San Agustín","TMP"
"52","260TMP22011519","2022-01-15",19,20,1,"°C",260,"San Agustín","TMP"
"53","260TMP22011520","2022-01-15",20,19,1,"°C",260,"San Agustín","TMP"
"54","260TMP22011521","2022-01-15",21,16.5,1,"°C",260,"San Agustín","TMP"
"55","260TMP22011522","2022-01-15",22,15.2,1,"°C",260,"San Agustín","TMP"
"56","260TMP22011523","2022-01-15",23,14.6,1,"°C",260,"San Agustín","TMP"
"57","260TMP22011600","2022-01-16",0,13.8,1,"°C",260,"San Agustín","TMP"
"58","260TMP22011601","2022-01-16",1,12.8,1,"°C",260,"San Agustín","TMP"
"59","260TMP22011602","2022-01-16",2,12.3,1,"°C",260,"San Agustín","TMP"
"60","260TMP22011603","2022-01-16",3,11.9,1,"°C",260,"San Agustín","TMP"
"61","260TMP22011604","2022-01-16",4,11.2,1,"°C",260,"San Agustín","TMP"
"62","260TMP22011605","2022-01-16",5,10.1,1,"°C",260,"San Agustín","TMP"
"63","260TMP22011606","2022-01-16",6,9.4,1,"°C",260,"San Agustín","TMP"
"64","260TMP22011607","2022-01-16",7,9.3,1,"°C",260,"San Agustín","TMP"
"65","260TMP22011608","2022-01-16",8,9.5,1,"°C",260,"San Agustín","TMP"
"66","260TMP22011609","2022-01-16",9,9.5,1,"°C",260,"San Agustín","TMP"
"67","260TMP22011610","2022-01-16",10,10.7,1,"°C",260,"San Agustín","TMP"
"68","260TMP22011611","2022-01-16",11,12.3,1,"°C",260,"San Agustín","TMP"
"69","260TMP22011612","2022-01-16",12,14.6,1,"°C",260,"San Agustín","TMP"
"70","260TMP22011613","2022-01-16",13,16.8,1,"°C",260,"San Agustín","TMP"
"71","260TMP22011614","2022-01-16",14,18.9,1,"°C",260,"San Agustín","TMP"
"72","260TMP22011615","2022-01-16",15,20.2,1,"°C",260,"San Agustín","TMP"
"73","260TMP22011616","2022-01-16",16,20.5,1,"°C",260,"San Agustín","TMP"
"74","260TMP22011617","2022-01-16",17,16.7,1,"°C",260,"San Agustín","TMP"
"75","260TMP22011618","2022-01-16",18,13.3,1,"°C",260,"San Agustín","TMP"
"76","260TMP22011619","2022-01-16",19,13.4,1,"°C",260,"San Agustín","TMP"
"77","260TMP22011620","2022-01-16",20,13,1,"°C",260,"San Agustín","TMP"
"78","260TMP22011621","2022-01-16",21,13.3,1,"°C",260,"San Agustín","TMP"
"79","260TMP22011622","2022-01-16",22,12.7,1,"°C",260,"San Agustín","TMP"
"80","260TMP22011623","2022-01-16",23,12.6,1,"°C",260,"San Agustín","TMP"
"81","260TMP22011700","2022-01-17",0,12.6,1,"°C",260,"San Agustín","TMP"
"82","260TMP22011701","2022-01-17",1,12.6,1,"°C",260,"San Agustín","TMP"
"83","260TMP22011702","2022-01-17",2,12.5,1,"°C",260,"San Agustín","TMP"
"84","260TMP22011703","2022-01-17",3,12,1,"°C",260,"San Agustín","TMP"
"85","260TMP22011704","2022-01-17",4,11.7,1,"°C",260,"San Agustín","TMP"
"86","260TMP22011705","2022-01-17",5,11.2,1,"°C",260,"San Agustín","TMP"
"87","260TMP22011706","2022-01-17",6,11.3,1,"°C",260,"San Agustín","TMP"
"88","260TMP22011707","2022-01-17",7,10.9,1,"°C",260,"San Agustín","TMP"
"89","260TMP22011708","2022-01-17",8,10.9,1,"°C",260,"San Agustín","TMP"
"90","260TMP22011709","2022-01-17",9,11.1,1,"°C",260,"San Agustín","TMP"
"91","260TMP22011710","2022-01-17",10,13.1,1,"°C",260,"San Agustín","TMP"
"92","260TMP22011711","2022-01-17",11,14.7,1,"°C",260,"San Agustín","TMP"
"93","260TMP22011712","2022-01-17",12,16.4,1,"°C",260,"San Agustín","TMP"
"94","260TMP22011713","2022-01-17",13,18.2,1,"°C",260,"San Agustín","TMP"
"95","260TMP22011714","2022-01-17",14,19.6,1,"°C",260,"San Agustín","TMP"
"96","260TMP22011715","2022-01-17",15,20.4,1,"°C",260,"San Agustín","TMP"
"97","260TMP22011716","2022-01-17",16,21.1,1,"°C",260,"San Agustín","TMP"
"98","260TMP22011717","2022-01-17",17,20.8,1,"°C",260,"San Agustín","TMP"
"99","260TMP22011718","2022-01-17",18,18.9,1,"°C",260,"San Agustín","TMP"
"100","260TMP22011719","2022-01-17",19,17.7,1,"°C",260,"San Agustín","TMP"
"101","260TMP22011720","2022-01-17",20,17.4,1,"°C",260,"San Agustín","TMP"
"102","260TMP22011721","2022-01-17",21,15,1,"°C",260,"San Agustín","TMP"
"103","260TMP22011722","2022-01-17",22,12.8,1,"°C",260,"San Agustín","TMP"
"104","260TMP22011723","2022-01-17",23,12,1,"°C",260,"San Agustín","TMP"
"105","260TMP22011800","2022-01-18",0,12.1,1,"°C",260,"San Agustín","TMP"
"106","260TMP22011801","2022-01-18",1,12.2,1,"°C",260,"San Agustín","TMP"
"107","260TMP22011802","2022-01-18",2,11.5,1,"°C",260,"San Agustín","TMP"
"108","260TMP22011803","2022-01-18",3,10.4,1,"°C",260,"San Agustín","TMP"
"109","260TMP22011804","2022-01-18",4,9.8,1,"°C",260,"San Agustín","TMP"
"110","260TMP22011805","2022-01-18",5,9.5,1,"°C",260,"San Agustín","TMP"
"111","260TMP22011806","2022-01-18",6,9.1,1,"°C",260,"San Agustín","TMP"
"112","260TMP22011807","2022-01-18",7,8.9,1,"°C",260,"San Agustín","TMP"
"113","260TMP22011808","2022-01-18",8,8.6,1,"°C",260,"San Agustín","TMP"
"114","260TMP22011809","2022-01-18",9,9.5,1,"°C",260,"San Agustín","TMP"
"115","260TMP22011810","2022-01-18",10,11.9,1,"°C",260,"San Agustín","TMP"
"116","260TMP22011811","2022-01-18",11,14.5,1,"°C",260,"San Agustín","TMP"
"117","260TMP22011812","2022-01-18",12,16.8,1,"°C",260,"San Agustín","TMP"
"118","260TMP22011813","2022-01-18",13,18.9,1,"°C",260,"San Agustín","TMP"
"119","260TMP22011814","2022-01-18",14,18.9,1,"°C",260,"San Agustín","TMP"
"120","260TMP22011815","2022-01-18",15,20.5,1,"°C",260,"San Agustín","TMP"
"121","260TMP22011816","2022-01-18",16,21.1,1,"°C",260,"San Agustín","TMP"
"122","260TMP22011817","2022-01-18",17,21.1,1,"°C",260,"San Agustín","TMP"
"123","260TMP22011818","2022-01-18",18,21.4,1,"°C",260,"San Agustín","TMP"
"124","260TMP22011819","2022-01-18",19,20.6,1,"°C",260,"San Agustín","TMP"
"125","260TMP22011820","2022-01-18",20,18.5,1,"°C",260,"San Agustín","TMP"
"126","260TMP22011821","2022-01-18",21,17,1,"°C",260,"San Agustín","TMP"
"127","260TMP22011822","2022-01-18",22,16.5,1,"°C",260,"San Agustín","TMP"
"128","260TMP22011823","2022-01-18",23,16,1,"°C",260,"San Agustín","TMP"
"129","260TMP22011900","2022-01-19",0,15.9,1,"°C",260,"San Agustín","TMP"
"130","260TMP22011901","2022-01-19",1,15,1,"°C",260,"San Agustín","TMP"
"131","260TMP22011902","2022-01-19",2,14.1,1,"°C",260,"San Agustín","TMP"
"132","260TMP22011903","2022-01-19",3,13.2,1,"°C",260,"San Agustín","TMP"
"133","260TMP22011904","2022-01-19",4,12.4,1,"°C",260,"San Agustín","TMP"
"134","260TMP22011905","2022-01-19",5,12,1,"°C",260,"San Agustín","TMP"
"135","260TMP22011906","2022-01-19",6,12,1,"°C",260,"San Agustín","TMP"
"136","260TMP22011907","2022-01-19",7,10.9,1,"°C",260,"San Agustín","TMP"
"137","260TMP22011908","2022-01-19",8,10.3,1,"°C",260,"San Agustín","TMP"
"138","260TMP22011909","2022-01-19",9,10.3,1,"°C",260,"San Agustín","TMP"
"139","260TMP22011910","2022-01-19",10,13.1,1,"°C",260,"San Agustín","TMP"
"140","260TMP22011911","2022-01-19",11,15.7,1,"°C",260,"San Agustín","TMP"
"141","260TMP22011912","2022-01-19",12,15.7,1,"°C",260,"San Agustín","TMP"
"142","260TMP22011913","2022-01-19",13,18.3,1,"°C",260,"San Agustín","TMP"
"143","260TMP22011914","2022-01-19",14,21.2,1,"°C",260,"San Agustín","TMP"
"144","260TMP22011915","2022-01-19",15,21.6,1,"°C",260,"San Agustín","TMP"
"145","260TMP22011916","2022-01-19",16,22,1,"°C",260,"San Agustín","TMP"
"146","260TMP22011917","2022-01-19",17,22.1,1,"°C",260,"San Agustín","TMP"
"147","260TMP22011918","2022-01-19",18,21.7,1,"°C",260,"San Agustín","TMP"
"148","260TMP22011919","2022-01-19",19,19.8,1,"°C",260,"San Agustín","TMP"
"149","260TMP22011920","2022-01-19",20,18.7,1,"°C",260,"San Agustín","TMP"
"150","260TMP22011921","2022-01-19",21,18.1,1,"°C",260,"San Agustín","TMP"
"151","260TMP22011922","2022-01-19",22,17.3,1,"°C",260,"San Agustín","TMP"
"152","260TMP22012000","2022-01-20",0,16,1,"°C",260,"San Agustín","TMP"
"153","260TMP22012001","2022-01-20",1,15.7,1,"°C",260,"San Agustín","TMP"
"154","260TMP22012002","2022-01-20",2,15.9,1,"°C",260,"San Agustín","TMP"
"155","260TMP22012003","2022-01-20",3,15.3,1,"°C",260,"San Agustín","TMP"
"156","260TMP22012004","2022-01-20",4,13.9,1,"°C",260,"San Agustín","TMP"
"157","260TMP22012005","2022-01-20",5,12.8,1,"°C",260,"San Agustín","TMP"
"158","260TMP22012006","2022-01-20",6,12.8,1,"°C",260,"San Agustín","TMP"
"159","260TMP22012007","2022-01-20",7,11.9,1,"°C",260,"San Agustín","TMP"
"160","260TMP22012008","2022-01-20",8,11.9,1,"°C",260,"San Agustín","TMP"
"161","260TMP22012009","2022-01-20",9,12.2,1,"°C",260,"San Agustín","TMP"
"162","260TMP22012010","2022-01-20",10,14.4,1,"°C",260,"San Agustín","TMP"
"163","260TMP22012011","2022-01-20",11,17,1,"°C",260,"San Agustín","TMP"
"164","260TMP22012012","2022-01-20",12,19.1,1,"°C",260,"San Agustín","TMP"
"165","260TMP22012013","2022-01-20",13,20.7,1,"°C",260,"San Agustín","TMP"
"166","260TMP22012014","2022-01-20",14,21.3,1,"°C",260,"San Agustín","TMP"
"167","260TMP22012015","2022-01-20",15,22.3,1,"°C",260,"San Agustín","TMP"
"168","260TMP22012016","2022-01-20",16,22.7,1,"°C",260,"San Agustín","TMP"
"169","260TMP22012017","2022-01-20",17,22.4,1,"°C",260,"San Agustín","TMP"
"170","260TMP22012018","2022-01-20",18,21.7,1,"°C",260,"San Agustín","TMP"
"171","260TMP22012019","2022-01-20",19,20.8,1,"°C",260,"San Agustín","TMP"
"172","260TMP22012020","2022-01-20",20,18,1,"°C",260,"San Agustín","TMP"
"173","260TMP22012021","2022-01-20",21,16,1,"°C",260,"San Agustín","TMP"
"174","260TMP22012022","2022-01-20",22,15.6,1,"°C",260,"San Agustín","TMP"
"175","260TMP22012023","2022-01-20",23,15.6,1,"°C",260,"San Agustín","TMP"
"176","260TMP22012100","2022-01-21",0,15.1,1,"°C",260,"San Agustín","TMP"
"177","260TMP22012101","2022-01-21",1,14.6,1,"°C",260,"San Agustín","TMP"
"178","260TMP22012102","2022-01-21",2,14.1,1,"°C",260,"San Agustín","TMP"
"179","260TMP22012103","2022-01-21",3,13.5,1,"°C",260,"San Agustín","TMP"
"180","260TMP22012104","2022-01-21",4,13.1,1,"°C",260,"San Agustín","TMP"
"181","260TMP22012105","2022-01-21",5,13.5,1,"°C",260,"San Agustín","TMP"
"182","260TMP22012106","2022-01-21",6,13.5,1,"°C",260,"San Agustín","TMP"
"183","260TMP22012107","2022-01-21",7,13.4,1,"°C",260,"San Agustín","TMP"
"184","260TMP22012108","2022-01-21",8,13.2,1,"°C",260,"San Agustín","TMP"
"185","260TMP22012109","2022-01-21",9,13.9,1,"°C",260,"San Agustín","TMP"
"186","260TMP22012110","2022-01-21",10,15.6,1,"°C",260,"San Agustín","TMP"
"187","260TMP22012111","2022-01-21",11,17,1,"°C",260,"San Agustín","TMP"
"188","260TMP22012112","2022-01-21",12,18.2,1,"°C",260,"San Agustín","TMP"
"189","260TMP22012113","2022-01-21",13,19.6,1,"°C",260,"San Agustín","TMP"
"190","260TMP22012114","2022-01-21",14,20.6,1,"°C",260,"San Agustín","TMP"
"191","260TMP22012115","2022-01-21",15,20.4,1,"°C",260,"San Agustín","TMP"
"192","260TMP22012116","2022-01-21",16,20,1,"°C",260,"San Agustín","TMP"
"193","260TMP22012118","2022-01-21",18,18.9,1,"°C",260,"San Agustín","TMP"
"194","260TMP22012119","2022-01-21",19,18.4,1,"°C",260,"San Agustín","TMP"
"195","260TMP22012121","2022-01-21",21,16.9,1,"°C",260,"San Agustín","TMP"
"196","260TMP22012122","2022-01-21",22,15.6,1,"°C",260,"San Agustín","TMP"
"197","260TMP22012123","2022-01-21",23,14.9,1,"°C",260,"San Agustín","TMP"
"198","260TMP22012200","2022-01-22",0,14.7,1,"°C",260,"San Agustín","TMP"
"199","260TMP22012209","2022-01-22",9,13.6,1,"°C",260,"San Agustín","TMP"
"200","260TMP22012210","2022-01-22",10,15.2,1,"°C",260,"San Agustín","TMP"
"201","260TMP22012211","2022-01-22",11,15.7,1,"°C",260,"San Agustín","TMP"
"202","260TMP22012212","2022-01-22",12,17.3,1,"°C",260,"San Agustín","TMP"
"203","260TMP22012213","2022-01-22",13,18.7,1,"°C",260,"San Agustín","TMP"
"204","260TMP22012214","2022-01-22",14,19.9,1,"°C",260,"San Agustín","TMP"
"205","260TMP22012215","2022-01-22",15,20.7,1,"°C",260,"San Agustín","TMP"
"206","260TMP22012216","2022-01-22",16,21,1,"°C",260,"San Agustín","TMP"
"207","260TMP22012217","2022-01-22",17,21.3,1,"°C",260,"San Agustín","TMP"
"208","260TMP22012218","2022-01-22",18,20.4,1,"°C",260,"San Agustín","TMP"
"209","260TMP22012219","2022-01-22",19,19.2,1,"°C",260,"San Agustín","TMP"
"210","260TMP22012221","2022-01-22",21,17.3,1,"°C",260,"San Agustín","TMP"
"211","260TMP22012222","2022-01-22",22,16.4,1,"°C",260,"San Agustín","TMP"
"212","260TMP22012223","2022-01-22",23,15.5,1,"°C",260,"San Agustín","TMP"
"213","260TMP22012300","2022-01-23",0,14.3,1,"°C",260,"San Agustín","TMP"
"214","260TMP22012301","2022-01-23",1,13.6,1,"°C",260,"San Agustín","TMP"
"215","260TMP22012302","2022-01-23",2,12.1,1,"°C",260,"San Agustín","TMP"
"216","260TMP22012303","2022-01-23",3,11.4,1,"°C",260,"San Agustín","TMP"
"217","260TMP22012304","2022-01-23",4,11.1,1,"°C",260,"San Agustín","TMP"
"218","260TMP22012305","2022-01-23",5,10.2,1,"°C",260,"San Agustín","TMP"
"219","260TMP22012306","2022-01-23",6,9.4,1,"°C",260,"San Agustín","TMP"
"220","260TMP22012307","2022-01-23",7,8.7,1,"°C",260,"San Agustín","TMP"
"221","260TMP22012308","2022-01-23",8,8.6,1,"°C",260,"San Agustín","TMP"
"222","260TMP22012309","2022-01-23",9,9.6,1,"°C",260,"San Agustín","TMP"
"223","260TMP22012310","2022-01-23",10,11.2,1,"°C",260,"San Agustín","TMP"
"224","260TMP22012311","2022-01-23",11,14.1,1,"°C",260,"San Agustín","TMP"
"225","260TMP22012312","2022-01-23",12,16.4,1,"°C",260,"San Agustín","TMP"
"226","260TMP22012313","2022-01-23",13,18.6,1,"°C",260,"San Agustín","TMP"
"227","260TMP22012314","2022-01-23",14,20.1,1,"°C",260,"San Agustín","TMP"
"228","260TMP22012315","2022-01-23",15,21.7,1,"°C",260,"San Agustín","TMP"
"229","260TMP22012316","2022-01-23",16,22.6,1,"°C",260,"San Agustín","TMP"
