"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","262TMP22010100","2022-01-01",0,11.6,1,"°C",262,"Santa Fe","SFE","TMP"
"2","262TMP22010101","2022-01-01",1,10.7,1,"°C",262,"Santa Fe","SFE","TMP"
"3","262TMP22010102","2022-01-01",2,10.1,1,"°C",262,"Santa Fe","SFE","TMP"
"4","262TMP22010103","2022-01-01",3,9.8,1,"°C",262,"Santa Fe","SFE","TMP"
"5","262TMP22010104","2022-01-01",4,9.5,1,"°C",262,"Santa Fe","SFE","TMP"
"6","262TMP22010105","2022-01-01",5,9.2,1,"°C",262,"Santa Fe","SFE","TMP"
"7","262TMP22010106","2022-01-01",6,9,1,"°C",262,"Santa Fe","SFE","TMP"
"8","262TMP22010107","2022-01-01",7,8.2,1,"°C",262,"Santa Fe","SFE","TMP"
"9","262TMP22010108","2022-01-01",8,8.1,1,"°C",262,"Santa Fe","SFE","TMP"
"10","262TMP22010109","2022-01-01",9,11.8,1,"°C",262,"Santa Fe","SFE","TMP"
"11","262TMP22010110","2022-01-01",10,15.8,1,"°C",262,"Santa Fe","SFE","TMP"
"12","262TMP22010111","2022-01-01",11,17.4,1,"°C",262,"Santa Fe","SFE","TMP"
"13","262TMP22010112","2022-01-01",12,18.7,1,"°C",262,"Santa Fe","SFE","TMP"
"14","262TMP22010113","2022-01-01",13,20.2,1,"°C",262,"Santa Fe","SFE","TMP"
"15","262TMP22010114","2022-01-01",14,21.2,1,"°C",262,"Santa Fe","SFE","TMP"
"16","262TMP22010115","2022-01-01",15,22.2,1,"°C",262,"Santa Fe","SFE","TMP"
"17","262TMP22010116","2022-01-01",16,22.5,1,"°C",262,"Santa Fe","SFE","TMP"
"18","262TMP22010117","2022-01-01",17,22.8,1,"°C",262,"Santa Fe","SFE","TMP"
"19","262TMP22010118","2022-01-01",18,21.1,1,"°C",262,"Santa Fe","SFE","TMP"
"20","262TMP22010119","2022-01-01",19,16.9,1,"°C",262,"Santa Fe","SFE","TMP"
"21","262TMP22010120","2022-01-01",20,14.2,1,"°C",262,"Santa Fe","SFE","TMP"
"22","262TMP22010121","2022-01-01",21,13.6,1,"°C",262,"Santa Fe","SFE","TMP"
"23","262TMP22010122","2022-01-01",22,13.3,1,"°C",262,"Santa Fe","SFE","TMP"
"24","262TMP22010123","2022-01-01",23,12.2,1,"°C",262,"Santa Fe","SFE","TMP"
"25","262TMP22010200","2022-01-02",0,11.8,1,"°C",262,"Santa Fe","SFE","TMP"
"26","262TMP22010201","2022-01-02",1,11.7,1,"°C",262,"Santa Fe","SFE","TMP"
"27","262TMP22010202","2022-01-02",2,10.8,1,"°C",262,"Santa Fe","SFE","TMP"
"28","262TMP22010203","2022-01-02",3,10.8,1,"°C",262,"Santa Fe","SFE","TMP"
"29","262TMP22010204","2022-01-02",4,10.3,1,"°C",262,"Santa Fe","SFE","TMP"
"30","262TMP22010205","2022-01-02",5,9.8,1,"°C",262,"Santa Fe","SFE","TMP"
"31","262TMP22010206","2022-01-02",6,9.5,1,"°C",262,"Santa Fe","SFE","TMP"
"32","262TMP22010207","2022-01-02",7,8.9,1,"°C",262,"Santa Fe","SFE","TMP"
"33","262TMP22010208","2022-01-02",8,9.3,1,"°C",262,"Santa Fe","SFE","TMP"
"34","262TMP22010209","2022-01-02",9,13.6,1,"°C",262,"Santa Fe","SFE","TMP"
"35","262TMP22010210","2022-01-02",10,18.1,1,"°C",262,"Santa Fe","SFE","TMP"
"36","262TMP22010211","2022-01-02",11,19.4,1,"°C",262,"Santa Fe","SFE","TMP"
"37","262TMP22010212","2022-01-02",12,19.9,1,"°C",262,"Santa Fe","SFE","TMP"
"38","262TMP22010213","2022-01-02",13,20.6,1,"°C",262,"Santa Fe","SFE","TMP"
"39","262TMP22010214","2022-01-02",14,21.6,1,"°C",262,"Santa Fe","SFE","TMP"
"40","262TMP22010215","2022-01-02",15,22.3,1,"°C",262,"Santa Fe","SFE","TMP"
"41","262TMP22010216","2022-01-02",16,23,1,"°C",262,"Santa Fe","SFE","TMP"
"42","262TMP22010217","2022-01-02",17,22.4,1,"°C",262,"Santa Fe","SFE","TMP"
"43","262TMP22010218","2022-01-02",18,19,1,"°C",262,"Santa Fe","SFE","TMP"
"44","262TMP22010219","2022-01-02",19,15.1,1,"°C",262,"Santa Fe","SFE","TMP"
"45","262TMP22010220","2022-01-02",20,13.3,1,"°C",262,"Santa Fe","SFE","TMP"
"46","262TMP22010221","2022-01-02",21,12,1,"°C",262,"Santa Fe","SFE","TMP"
"47","262TMP22010222","2022-01-02",22,10.6,1,"°C",262,"Santa Fe","SFE","TMP"
"48","262TMP22010223","2022-01-02",23,9.4,1,"°C",262,"Santa Fe","SFE","TMP"
"49","262TMP22010300","2022-01-03",0,9.6,1,"°C",262,"Santa Fe","SFE","TMP"
"50","262TMP22010301","2022-01-03",1,9.7,1,"°C",262,"Santa Fe","SFE","TMP"
"51","262TMP22010302","2022-01-03",2,9.1,1,"°C",262,"Santa Fe","SFE","TMP"
"52","262TMP22010303","2022-01-03",3,8.8,1,"°C",262,"Santa Fe","SFE","TMP"
"53","262TMP22010304","2022-01-03",4,8.9,1,"°C",262,"Santa Fe","SFE","TMP"
"54","262TMP22010305","2022-01-03",5,8.6,1,"°C",262,"Santa Fe","SFE","TMP"
"55","262TMP22010306","2022-01-03",6,8.8,1,"°C",262,"Santa Fe","SFE","TMP"
"56","262TMP22010307","2022-01-03",7,8.7,1,"°C",262,"Santa Fe","SFE","TMP"
"57","262TMP22010308","2022-01-03",8,8.6,1,"°C",262,"Santa Fe","SFE","TMP"
"58","262TMP22010309","2022-01-03",9,9,1,"°C",262,"Santa Fe","SFE","TMP"
"59","262TMP22010310","2022-01-03",10,10.4,1,"°C",262,"Santa Fe","SFE","TMP"
"60","262TMP22010311","2022-01-03",11,12.4,1,"°C",262,"Santa Fe","SFE","TMP"
"61","262TMP22010312","2022-01-03",12,15.3,1,"°C",262,"Santa Fe","SFE","TMP"
"62","262TMP22010313","2022-01-03",13,17,1,"°C",262,"Santa Fe","SFE","TMP"
"63","262TMP22010314","2022-01-03",14,18.8,1,"°C",262,"Santa Fe","SFE","TMP"
"64","262TMP22010315","2022-01-03",15,19.5,1,"°C",262,"Santa Fe","SFE","TMP"
"65","262TMP22010316","2022-01-03",16,19.9,1,"°C",262,"Santa Fe","SFE","TMP"
"66","262TMP22010317","2022-01-03",17,19.6,1,"°C",262,"Santa Fe","SFE","TMP"
"67","262TMP22010318","2022-01-03",18,18,1,"°C",262,"Santa Fe","SFE","TMP"
"68","262TMP22010319","2022-01-03",19,15.6,1,"°C",262,"Santa Fe","SFE","TMP"
"69","262TMP22010320","2022-01-03",20,13.4,1,"°C",262,"Santa Fe","SFE","TMP"
"70","262TMP22010321","2022-01-03",21,12.2,1,"°C",262,"Santa Fe","SFE","TMP"
"71","262TMP22010322","2022-01-03",22,11.4,1,"°C",262,"Santa Fe","SFE","TMP"
"72","262TMP22010323","2022-01-03",23,10.7,1,"°C",262,"Santa Fe","SFE","TMP"
"73","262TMP22010400","2022-01-04",0,10.6,1,"°C",262,"Santa Fe","SFE","TMP"
"74","262TMP22010401","2022-01-04",1,10.1,1,"°C",262,"Santa Fe","SFE","TMP"
"75","262TMP22010402","2022-01-04",2,9.4,1,"°C",262,"Santa Fe","SFE","TMP"
"76","262TMP22010403","2022-01-04",3,9.1,1,"°C",262,"Santa Fe","SFE","TMP"
"77","262TMP22010404","2022-01-04",4,8.5,1,"°C",262,"Santa Fe","SFE","TMP"
"78","262TMP22010405","2022-01-04",5,8.1,1,"°C",262,"Santa Fe","SFE","TMP"
"79","262TMP22010406","2022-01-04",6,7.8,1,"°C",262,"Santa Fe","SFE","TMP"
"80","262TMP22010407","2022-01-04",7,7.7,1,"°C",262,"Santa Fe","SFE","TMP"
"81","262TMP22010408","2022-01-04",8,8.4,1,"°C",262,"Santa Fe","SFE","TMP"
"82","262TMP22010409","2022-01-04",9,11.6,1,"°C",262,"Santa Fe","SFE","TMP"
"83","262TMP22010410","2022-01-04",10,16.7,1,"°C",262,"Santa Fe","SFE","TMP"
"84","262TMP22010411","2022-01-04",11,18.1,1,"°C",262,"Santa Fe","SFE","TMP"
"85","262TMP22010412","2022-01-04",12,19.3,1,"°C",262,"Santa Fe","SFE","TMP"
"86","262TMP22010413","2022-01-04",13,20.3,1,"°C",262,"Santa Fe","SFE","TMP"
"87","262TMP22010414","2022-01-04",14,21.9,1,"°C",262,"Santa Fe","SFE","TMP"
"88","262TMP22010415","2022-01-04",15,22.7,1,"°C",262,"Santa Fe","SFE","TMP"
"89","262TMP22010416","2022-01-04",16,23.2,1,"°C",262,"Santa Fe","SFE","TMP"
"90","262TMP22010417","2022-01-04",17,22.9,1,"°C",262,"Santa Fe","SFE","TMP"
"91","262TMP22010418","2022-01-04",18,20.9,1,"°C",262,"Santa Fe","SFE","TMP"
"92","262TMP22010419","2022-01-04",19,16.8,1,"°C",262,"Santa Fe","SFE","TMP"
"93","262TMP22010420","2022-01-04",20,14.2,1,"°C",262,"Santa Fe","SFE","TMP"
"94","262TMP22010421","2022-01-04",21,13.2,1,"°C",262,"Santa Fe","SFE","TMP"
"95","262TMP22010422","2022-01-04",22,12.7,1,"°C",262,"Santa Fe","SFE","TMP"
"96","262TMP22010423","2022-01-04",23,12,1,"°C",262,"Santa Fe","SFE","TMP"
"97","262TMP22010500","2022-01-05",0,11.4,1,"°C",262,"Santa Fe","SFE","TMP"
"98","262TMP22010501","2022-01-05",1,10.9,1,"°C",262,"Santa Fe","SFE","TMP"
"99","262TMP22010502","2022-01-05",2,10.3,1,"°C",262,"Santa Fe","SFE","TMP"
"100","262TMP22010503","2022-01-05",3,9.8,1,"°C",262,"Santa Fe","SFE","TMP"
"101","262TMP22010504","2022-01-05",4,9.5,1,"°C",262,"Santa Fe","SFE","TMP"
"102","262TMP22010505","2022-01-05",5,9.5,1,"°C",262,"Santa Fe","SFE","TMP"
"103","262TMP22010506","2022-01-05",6,9.1,1,"°C",262,"Santa Fe","SFE","TMP"
"104","262TMP22010507","2022-01-05",7,9.1,1,"°C",262,"Santa Fe","SFE","TMP"
"105","262TMP22010508","2022-01-05",8,9.1,1,"°C",262,"Santa Fe","SFE","TMP"
"106","262TMP22010509","2022-01-05",9,12.7,1,"°C",262,"Santa Fe","SFE","TMP"
"107","262TMP22010510","2022-01-05",10,17.4,1,"°C",262,"Santa Fe","SFE","TMP"
"108","262TMP22010511","2022-01-05",11,20.2,1,"°C",262,"Santa Fe","SFE","TMP"
"109","262TMP22010512","2022-01-05",12,21,1,"°C",262,"Santa Fe","SFE","TMP"
"110","262TMP22010513","2022-01-05",13,21.8,1,"°C",262,"Santa Fe","SFE","TMP"
"111","262TMP22010514","2022-01-05",14,22.6,1,"°C",262,"Santa Fe","SFE","TMP"
"112","262TMP22010515","2022-01-05",15,23.2,1,"°C",262,"Santa Fe","SFE","TMP"
"113","262TMP22010516","2022-01-05",16,23.2,1,"°C",262,"Santa Fe","SFE","TMP"
"114","262TMP22010517","2022-01-05",17,22.2,1,"°C",262,"Santa Fe","SFE","TMP"
"115","262TMP22010518","2022-01-05",18,20.3,1,"°C",262,"Santa Fe","SFE","TMP"
"116","262TMP22010519","2022-01-05",19,17.7,1,"°C",262,"Santa Fe","SFE","TMP"
