"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","265TMP22010100","2022-01-01",0,11.7,1,"°C",265,"Tlahuac","TAH","TMP"
"2","265TMP22010101","2022-01-01",1,10.6,1,"°C",265,"Tlahuac","TAH","TMP"
"3","265TMP22010102","2022-01-01",2,10.2,1,"°C",265,"Tlahuac","TAH","TMP"
"4","265TMP22010103","2022-01-01",3,9.7,1,"°C",265,"Tlahuac","TAH","TMP"
"5","265TMP22010104","2022-01-01",4,9.5,1,"°C",265,"Tlahuac","TAH","TMP"
"6","265TMP22010105","2022-01-01",5,8.9,1,"°C",265,"Tlahuac","TAH","TMP"
"7","265TMP22010106","2022-01-01",6,8.6,1,"°C",265,"Tlahuac","TAH","TMP"
"8","265TMP22010107","2022-01-01",7,7.4,1,"°C",265,"Tlahuac","TAH","TMP"
"9","265TMP22010108","2022-01-01",8,7.4,1,"°C",265,"Tlahuac","TAH","TMP"
"10","265TMP22010109","2022-01-01",9,8.5,1,"°C",265,"Tlahuac","TAH","TMP"
"11","265TMP22010110","2022-01-01",10,10.5,1,"°C",265,"Tlahuac","TAH","TMP"
"12","265TMP22010111","2022-01-01",11,12.2,1,"°C",265,"Tlahuac","TAH","TMP"
"13","265TMP22010112","2022-01-01",12,16,1,"°C",265,"Tlahuac","TAH","TMP"
"14","265TMP22010113","2022-01-01",13,19.4,1,"°C",265,"Tlahuac","TAH","TMP"
"15","265TMP22010114","2022-01-01",14,21.1,1,"°C",265,"Tlahuac","TAH","TMP"
"16","265TMP22010115","2022-01-01",15,21.7,1,"°C",265,"Tlahuac","TAH","TMP"
"17","265TMP22010116","2022-01-01",16,22.2,1,"°C",265,"Tlahuac","TAH","TMP"
"18","265TMP22010117","2022-01-01",17,22.2,1,"°C",265,"Tlahuac","TAH","TMP"
"19","265TMP22010118","2022-01-01",18,21.4,1,"°C",265,"Tlahuac","TAH","TMP"
"20","265TMP22010119","2022-01-01",19,18.7,1,"°C",265,"Tlahuac","TAH","TMP"
"21","265TMP22010120","2022-01-01",20,17,1,"°C",265,"Tlahuac","TAH","TMP"
"22","265TMP22010121","2022-01-01",21,15.1,1,"°C",265,"Tlahuac","TAH","TMP"
"23","265TMP22010122","2022-01-01",22,14.2,1,"°C",265,"Tlahuac","TAH","TMP"
"24","265TMP22010123","2022-01-01",23,12.6,1,"°C",265,"Tlahuac","TAH","TMP"
"25","265TMP22010200","2022-01-02",0,11,1,"°C",265,"Tlahuac","TAH","TMP"
"26","265TMP22010201","2022-01-02",1,9.8,1,"°C",265,"Tlahuac","TAH","TMP"
"27","265TMP22010202","2022-01-02",2,9.9,1,"°C",265,"Tlahuac","TAH","TMP"
"28","265TMP22010203","2022-01-02",3,8.7,1,"°C",265,"Tlahuac","TAH","TMP"
"29","265TMP22010204","2022-01-02",4,8.3,1,"°C",265,"Tlahuac","TAH","TMP"
"30","265TMP22010205","2022-01-02",5,7.5,1,"°C",265,"Tlahuac","TAH","TMP"
"31","265TMP22010206","2022-01-02",6,7.9,1,"°C",265,"Tlahuac","TAH","TMP"
"32","265TMP22010207","2022-01-02",7,6.6,1,"°C",265,"Tlahuac","TAH","TMP"
"33","265TMP22010208","2022-01-02",8,6.5,1,"°C",265,"Tlahuac","TAH","TMP"
"34","265TMP22010209","2022-01-02",9,8.2,1,"°C",265,"Tlahuac","TAH","TMP"
"35","265TMP22010210","2022-01-02",10,11.3,1,"°C",265,"Tlahuac","TAH","TMP"
"36","265TMP22010211","2022-01-02",11,15.1,1,"°C",265,"Tlahuac","TAH","TMP"
"37","265TMP22010212","2022-01-02",12,18.2,1,"°C",265,"Tlahuac","TAH","TMP"
"38","265TMP22010213","2022-01-02",13,20,1,"°C",265,"Tlahuac","TAH","TMP"
"39","265TMP22010214","2022-01-02",14,21.6,1,"°C",265,"Tlahuac","TAH","TMP"
"40","265TMP22010215","2022-01-02",15,22.8,1,"°C",265,"Tlahuac","TAH","TMP"
"41","265TMP22010216","2022-01-02",16,22.2,1,"°C",265,"Tlahuac","TAH","TMP"
"42","265TMP22010217","2022-01-02",17,21.3,1,"°C",265,"Tlahuac","TAH","TMP"
"43","265TMP22010218","2022-01-02",18,19.9,1,"°C",265,"Tlahuac","TAH","TMP"
"44","265TMP22010219","2022-01-02",19,17.8,1,"°C",265,"Tlahuac","TAH","TMP"
"45","265TMP22010220","2022-01-02",20,15.3,1,"°C",265,"Tlahuac","TAH","TMP"
"46","265TMP22010221","2022-01-02",21,14.1,1,"°C",265,"Tlahuac","TAH","TMP"
"47","265TMP22010222","2022-01-02",22,12.6,1,"°C",265,"Tlahuac","TAH","TMP"
"48","265TMP22010223","2022-01-02",23,11.1,1,"°C",265,"Tlahuac","TAH","TMP"
"49","265TMP22010300","2022-01-03",0,10.4,1,"°C",265,"Tlahuac","TAH","TMP"
"50","265TMP22010301","2022-01-03",1,10.6,1,"°C",265,"Tlahuac","TAH","TMP"
"51","265TMP22010302","2022-01-03",2,10.4,1,"°C",265,"Tlahuac","TAH","TMP"
"52","265TMP22010303","2022-01-03",3,9.8,1,"°C",265,"Tlahuac","TAH","TMP"
"53","265TMP22010304","2022-01-03",4,9.4,1,"°C",265,"Tlahuac","TAH","TMP"
"54","265TMP22010305","2022-01-03",5,8.8,1,"°C",265,"Tlahuac","TAH","TMP"
"55","265TMP22010306","2022-01-03",6,9.1,1,"°C",265,"Tlahuac","TAH","TMP"
"56","265TMP22010307","2022-01-03",7,8.9,1,"°C",265,"Tlahuac","TAH","TMP"
"57","265TMP22010308","2022-01-03",8,9.1,1,"°C",265,"Tlahuac","TAH","TMP"
"58","265TMP22010309","2022-01-03",9,9.2,1,"°C",265,"Tlahuac","TAH","TMP"
"59","265TMP22010310","2022-01-03",10,10,1,"°C",265,"Tlahuac","TAH","TMP"
"60","265TMP22010311","2022-01-03",11,11.5,1,"°C",265,"Tlahuac","TAH","TMP"
"61","265TMP22010312","2022-01-03",12,12.9,1,"°C",265,"Tlahuac","TAH","TMP"
"62","265TMP22010313","2022-01-03",13,15.2,1,"°C",265,"Tlahuac","TAH","TMP"
"63","265TMP22010314","2022-01-03",14,17,1,"°C",265,"Tlahuac","TAH","TMP"
"64","265TMP22010315","2022-01-03",15,18.5,1,"°C",265,"Tlahuac","TAH","TMP"
"65","265TMP22010316","2022-01-03",16,19.4,1,"°C",265,"Tlahuac","TAH","TMP"
"66","265TMP22010317","2022-01-03",17,19.3,1,"°C",265,"Tlahuac","TAH","TMP"
"67","265TMP22010318","2022-01-03",18,18.7,1,"°C",265,"Tlahuac","TAH","TMP"
"68","265TMP22010319","2022-01-03",19,17.3,1,"°C",265,"Tlahuac","TAH","TMP"
"69","265TMP22010320","2022-01-03",20,15.5,1,"°C",265,"Tlahuac","TAH","TMP"
"70","265TMP22010321","2022-01-03",21,14.2,1,"°C",265,"Tlahuac","TAH","TMP"
"71","265TMP22010322","2022-01-03",22,14.1,1,"°C",265,"Tlahuac","TAH","TMP"
"72","265TMP22010323","2022-01-03",23,13.6,1,"°C",265,"Tlahuac","TAH","TMP"
"73","265TMP22010400","2022-01-04",0,12.3,1,"°C",265,"Tlahuac","TAH","TMP"
"74","265TMP22010401","2022-01-04",1,10.6,1,"°C",265,"Tlahuac","TAH","TMP"
"75","265TMP22010402","2022-01-04",2,10.1,1,"°C",265,"Tlahuac","TAH","TMP"
"76","265TMP22010403","2022-01-04",3,9.5,1,"°C",265,"Tlahuac","TAH","TMP"
