"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","266TMP22010100","2022-01-01",0,14.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"2","266TMP22010101","2022-01-01",1,13.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"3","266TMP22010102","2022-01-01",2,12.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"4","266TMP22010103","2022-01-01",3,11.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"5","266TMP22010104","2022-01-01",4,10.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"6","266TMP22010105","2022-01-01",5,10,1,"°C",266,"Tlalnepantla","TLA","TMP"
"7","266TMP22010106","2022-01-01",6,9.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"8","266TMP22010107","2022-01-01",7,9.1,1,"°C",266,"Tlalnepantla","TLA","TMP"
"9","266TMP22010108","2022-01-01",8,8.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"10","266TMP22010109","2022-01-01",9,11,1,"°C",266,"Tlalnepantla","TLA","TMP"
"11","266TMP22010110","2022-01-01",10,14.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"12","266TMP22010111","2022-01-01",11,16.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"13","266TMP22010112","2022-01-01",12,18.3,1,"°C",266,"Tlalnepantla","TLA","TMP"
"14","266TMP22010113","2022-01-01",13,20.6,1,"°C",266,"Tlalnepantla","TLA","TMP"
"15","266TMP22010114","2022-01-01",14,22.1,1,"°C",266,"Tlalnepantla","TLA","TMP"
"16","266TMP22010115","2022-01-01",15,23,1,"°C",266,"Tlalnepantla","TLA","TMP"
"17","266TMP22010116","2022-01-01",16,23.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"18","266TMP22010117","2022-01-01",17,24,1,"°C",266,"Tlalnepantla","TLA","TMP"
"19","266TMP22010118","2022-01-01",18,23.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"20","266TMP22010119","2022-01-01",19,21.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"21","266TMP22010120","2022-01-01",20,20,1,"°C",266,"Tlalnepantla","TLA","TMP"
"22","266TMP22010121","2022-01-01",21,17.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"23","266TMP22010122","2022-01-01",22,16,1,"°C",266,"Tlalnepantla","TLA","TMP"
"24","266TMP22010123","2022-01-01",23,14.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"25","266TMP22010200","2022-01-02",0,13.6,1,"°C",266,"Tlalnepantla","TLA","TMP"
"26","266TMP22010201","2022-01-02",1,12.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"27","266TMP22010202","2022-01-02",2,11.6,1,"°C",266,"Tlalnepantla","TLA","TMP"
"28","266TMP22010203","2022-01-02",3,10.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"29","266TMP22010204","2022-01-02",4,10.2,1,"°C",266,"Tlalnepantla","TLA","TMP"
"30","266TMP22010205","2022-01-02",5,9.5,1,"°C",266,"Tlalnepantla","TLA","TMP"
"31","266TMP22010206","2022-01-02",6,8.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"32","266TMP22010207","2022-01-02",7,8.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"33","266TMP22010208","2022-01-02",8,8.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"34","266TMP22010209","2022-01-02",9,11.5,1,"°C",266,"Tlalnepantla","TLA","TMP"
"35","266TMP22010210","2022-01-02",10,15.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"36","266TMP22010211","2022-01-02",11,18.3,1,"°C",266,"Tlalnepantla","TLA","TMP"
"37","266TMP22010212","2022-01-02",12,19.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"38","266TMP22010213","2022-01-02",13,20.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"39","266TMP22010214","2022-01-02",14,21.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"40","266TMP22010215","2022-01-02",15,23,1,"°C",266,"Tlalnepantla","TLA","TMP"
"41","266TMP22010216","2022-01-02",16,23.2,1,"°C",266,"Tlalnepantla","TLA","TMP"
"42","266TMP22010217","2022-01-02",17,21.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"43","266TMP22010218","2022-01-02",18,18.3,1,"°C",266,"Tlalnepantla","TLA","TMP"
"44","266TMP22010219","2022-01-02",19,15.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"45","266TMP22010220","2022-01-02",20,13.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"46","266TMP22010221","2022-01-02",21,12.1,1,"°C",266,"Tlalnepantla","TLA","TMP"
"47","266TMP22010222","2022-01-02",22,11.3,1,"°C",266,"Tlalnepantla","TLA","TMP"
"48","266TMP22010223","2022-01-02",23,11.1,1,"°C",266,"Tlalnepantla","TLA","TMP"
"49","266TMP22010300","2022-01-03",0,10.4,1,"°C",266,"Tlalnepantla","TLA","TMP"
"50","266TMP22010301","2022-01-03",1,9.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"51","266TMP22010302","2022-01-03",2,9.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"52","266TMP22010303","2022-01-03",3,9.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"53","266TMP22010304","2022-01-03",4,9.7,1,"°C",266,"Tlalnepantla","TLA","TMP"
"54","266TMP22010305","2022-01-03",5,9.6,1,"°C",266,"Tlalnepantla","TLA","TMP"
"55","266TMP22010306","2022-01-03",6,9.6,1,"°C",266,"Tlalnepantla","TLA","TMP"
"56","266TMP22010307","2022-01-03",7,9.5,1,"°C",266,"Tlalnepantla","TLA","TMP"
"57","266TMP22010308","2022-01-03",8,9.5,1,"°C",266,"Tlalnepantla","TLA","TMP"
"58","266TMP22010309","2022-01-03",9,9.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"59","266TMP22010310","2022-01-03",10,10.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
"60","266TMP22010311","2022-01-03",11,11.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"61","266TMP22010312","2022-01-03",12,13.9,1,"°C",266,"Tlalnepantla","TLA","TMP"
"62","266TMP22010313","2022-01-03",13,16,1,"°C",266,"Tlalnepantla","TLA","TMP"
"63","266TMP22010314","2022-01-03",14,17.8,1,"°C",266,"Tlalnepantla","TLA","TMP"
