"","parametro","id","date","hour","value","valid","unit","station_id","station_name","station_code"
"1","PM10","267PM1022010100","2022-01-01",0,169,1,"µg/m³",267,"Tultitlán","TLI"
"2","PM10","267PM1022010101","2022-01-01",1,190,1,"µg/m³",267,"Tultitlán","TLI"
"3","PM10","267PM1022010102","2022-01-01",2,160,1,"µg/m³",267,"Tultitlán","TLI"
"4","PM10","267PM1022010103","2022-01-01",3,263,1,"µg/m³",267,"Tultitlán","TLI"
"5","PM10","267PM1022010104","2022-01-01",4,331,1,"µg/m³",267,"Tultitlán","TLI"
"6","PM10","267PM1022010105","2022-01-01",5,348,1,"µg/m³",267,"Tultitlán","TLI"
"7","PM10","267PM1022010106","2022-01-01",6,293,1,"µg/m³",267,"Tultitlán","TLI"
"8","PM10","267PM1022010107","2022-01-01",7,252,1,"µg/m³",267,"Tultitlán","TLI"
"9","PM10","267PM1022010108","2022-01-01",8,236,1,"µg/m³",267,"Tultitlán","TLI"
"10","PM10","267PM1022010109","2022-01-01",9,200,1,"µg/m³",267,"Tultitlán","TLI"
"11","PM10","267PM1022010110","2022-01-01",10,197,1,"µg/m³",267,"Tultitlán","TLI"
"12","PM10","267PM1022010111","2022-01-01",11,158,1,"µg/m³",267,"Tultitlán","TLI"
"13","PM10","267PM1022010112","2022-01-01",12,154,1,"µg/m³",267,"Tultitlán","TLI"
"14","PM10","267PM1022010113","2022-01-01",13,114,1,"µg/m³",267,"Tultitlán","TLI"
"15","PM10","267PM1022010114","2022-01-01",14,45,1,"µg/m³",267,"Tultitlán","TLI"
"16","PM10","267PM1022010115","2022-01-01",15,25,1,"µg/m³",267,"Tultitlán","TLI"
"17","PM10","267PM1022010116","2022-01-01",16,21,1,"µg/m³",267,"Tultitlán","TLI"
"18","PM10","267PM1022010117","2022-01-01",17,13,1,"µg/m³",267,"Tultitlán","TLI"
"19","PM10","267PM1022010118","2022-01-01",18,1,1,"µg/m³",267,"Tultitlán","TLI"
"20","PM10","267PM1022010119","2022-01-01",19,11,1,"µg/m³",267,"Tultitlán","TLI"
"21","PM10","267PM1022010120","2022-01-01",20,57,1,"µg/m³",267,"Tultitlán","TLI"
"22","PM10","267PM1022010121","2022-01-01",21,84,1,"µg/m³",267,"Tultitlán","TLI"
"23","PM10","267PM1022010122","2022-01-01",22,84,1,"µg/m³",267,"Tultitlán","TLI"
"24","PM10","267PM1022010123","2022-01-01",23,80,1,"µg/m³",267,"Tultitlán","TLI"
"25","PM10","267PM1022010200","2022-01-02",0,68,1,"µg/m³",267,"Tultitlán","TLI"
"26","PM10","267PM1022010201","2022-01-02",1,44,1,"µg/m³",267,"Tultitlán","TLI"
"27","PM10","267PM1022010202","2022-01-02",2,63,1,"µg/m³",267,"Tultitlán","TLI"
"28","PM10","267PM1022010203","2022-01-02",3,82,1,"µg/m³",267,"Tultitlán","TLI"
"29","PM10","267PM1022010204","2022-01-02",4,70,1,"µg/m³",267,"Tultitlán","TLI"
"30","PM10","267PM1022010205","2022-01-02",5,58,1,"µg/m³",267,"Tultitlán","TLI"
"31","PM10","267PM1022010206","2022-01-02",6,59,1,"µg/m³",267,"Tultitlán","TLI"
"32","PM10","267PM1022010207","2022-01-02",7,58,1,"µg/m³",267,"Tultitlán","TLI"
"33","PM10","267PM1022010208","2022-01-02",8,58,1,"µg/m³",267,"Tultitlán","TLI"
"34","PM10","267PM1022010209","2022-01-02",9,69,1,"µg/m³",267,"Tultitlán","TLI"
"35","PM10","267PM1022010210","2022-01-02",10,63,1,"µg/m³",267,"Tultitlán","TLI"
"36","PM10","267PM1022010211","2022-01-02",11,51,1,"µg/m³",267,"Tultitlán","TLI"
