"","id","date","hour","value","valid","unit","station_id","station_name","parametro"
"1","268TMP22010100","2022-01-01",0,15.5,1,"°C",268,"UAM Iztapalapa","TMP"
"2","268TMP22010101","2022-01-01",1,14.8,1,"°C",268,"UAM Iztapalapa","TMP"
"3","268TMP22010102","2022-01-01",2,14.1,1,"°C",268,"UAM Iztapalapa","TMP"
"4","268TMP22010103","2022-01-01",3,13.6,1,"°C",268,"UAM Iztapalapa","TMP"
"5","268TMP22010104","2022-01-01",4,13.1,1,"°C",268,"UAM Iztapalapa","TMP"
"6","268TMP22010105","2022-01-01",5,12.5,1,"°C",268,"UAM Iztapalapa","TMP"
"7","268TMP22010106","2022-01-01",6,11.1,1,"°C",268,"UAM Iztapalapa","TMP"
"8","268TMP22010107","2022-01-01",7,10.8,1,"°C",268,"UAM Iztapalapa","TMP"
"9","268TMP22010108","2022-01-01",8,10.3,1,"°C",268,"UAM Iztapalapa","TMP"
"10","268TMP22010109","2022-01-01",9,11.1,1,"°C",268,"UAM Iztapalapa","TMP"
"11","268TMP22010110","2022-01-01",10,13.1,1,"°C",268,"UAM Iztapalapa","TMP"
"12","268TMP22010111","2022-01-01",11,15.3,1,"°C",268,"UAM Iztapalapa","TMP"
"13","268TMP22010112","2022-01-01",12,17.8,1,"°C",268,"UAM Iztapalapa","TMP"
"14","268TMP22010113","2022-01-01",13,19.7,1,"°C",268,"UAM Iztapalapa","TMP"
"15","268TMP22010114","2022-01-01",14,21.4,1,"°C",268,"UAM Iztapalapa","TMP"
"16","268TMP22010115","2022-01-01",15,22.6,1,"°C",268,"UAM Iztapalapa","TMP"
"17","268TMP22010116","2022-01-01",16,23.3,1,"°C",268,"UAM Iztapalapa","TMP"
"18","268TMP22010117","2022-01-01",17,24,1,"°C",268,"UAM Iztapalapa","TMP"
"19","268TMP22010118","2022-01-01",18,23.6,1,"°C",268,"UAM Iztapalapa","TMP"
"20","268TMP22010119","2022-01-01",19,22.3,1,"°C",268,"UAM Iztapalapa","TMP"
"21","268TMP22010120","2022-01-01",20,20.3,1,"°C",268,"UAM Iztapalapa","TMP"
"22","268TMP22010121","2022-01-01",21,18.3,1,"°C",268,"UAM Iztapalapa","TMP"
"23","268TMP22010122","2022-01-01",22,16.9,1,"°C",268,"UAM Iztapalapa","TMP"
"24","268TMP22010123","2022-01-01",23,15.9,1,"°C",268,"UAM Iztapalapa","TMP"
"25","268TMP22010200","2022-01-02",0,15.1,1,"°C",268,"UAM Iztapalapa","TMP"
"26","268TMP22010201","2022-01-02",1,13.8,1,"°C",268,"UAM Iztapalapa","TMP"
"27","268TMP22010202","2022-01-02",2,13.2,1,"°C",268,"UAM Iztapalapa","TMP"
"28","268TMP22010203","2022-01-02",3,12.6,1,"°C",268,"UAM Iztapalapa","TMP"
"29","268TMP22010204","2022-01-02",4,12.2,1,"°C",268,"UAM Iztapalapa","TMP"
"30","268TMP22010205","2022-01-02",5,11.5,1,"°C",268,"UAM Iztapalapa","TMP"
"31","268TMP22010206","2022-01-02",6,11.1,1,"°C",268,"UAM Iztapalapa","TMP"
"32","268TMP22010207","2022-01-02",7,10.6,1,"°C",268,"UAM Iztapalapa","TMP"
"33","268TMP22010208","2022-01-02",8,10.3,1,"°C",268,"UAM Iztapalapa","TMP"
"34","268TMP22010209","2022-01-02",9,11.9,1,"°C",268,"UAM Iztapalapa","TMP"
"35","268TMP22010210","2022-01-02",10,13.7,1,"°C",268,"UAM Iztapalapa","TMP"
"36","268TMP22010211","2022-01-02",11,15.8,1,"°C",268,"UAM Iztapalapa","TMP"
"37","268TMP22010212","2022-01-02",12,18.3,1,"°C",268,"UAM Iztapalapa","TMP"
"38","268TMP22010213","2022-01-02",13,20.1,1,"°C",268,"UAM Iztapalapa","TMP"
"39","268TMP22010214","2022-01-02",14,21.6,1,"°C",268,"UAM Iztapalapa","TMP"
"40","268TMP22010215","2022-01-02",15,22.6,1,"°C",268,"UAM Iztapalapa","TMP"
"41","268TMP22010216","2022-01-02",16,23.1,1,"°C",268,"UAM Iztapalapa","TMP"
"42","268TMP22010217","2022-01-02",17,22,1,"°C",268,"UAM Iztapalapa","TMP"
"43","268TMP22010218","2022-01-02",18,20,1,"°C",268,"UAM Iztapalapa","TMP"
"44","268TMP22010219","2022-01-02",19,18,1,"°C",268,"UAM Iztapalapa","TMP"
"45","268TMP22010220","2022-01-02",20,16.1,1,"°C",268,"UAM Iztapalapa","TMP"
"46","268TMP22010221","2022-01-02",21,14.1,1,"°C",268,"UAM Iztapalapa","TMP"
"47","268TMP22010222","2022-01-02",22,12.7,1,"°C",268,"UAM Iztapalapa","TMP"
"48","268TMP22010223","2022-01-02",23,12,1,"°C",268,"UAM Iztapalapa","TMP"
"49","268TMP22010300","2022-01-03",0,11.5,1,"°C",268,"UAM Iztapalapa","TMP"
"50","268TMP22010301","2022-01-03",1,11.2,1,"°C",268,"UAM Iztapalapa","TMP"
"51","268TMP22010302","2022-01-03",2,10.8,1,"°C",268,"UAM Iztapalapa","TMP"
"52","268TMP22010303","2022-01-03",3,10.5,1,"°C",268,"UAM Iztapalapa","TMP"
"53","268TMP22010304","2022-01-03",4,10,1,"°C",268,"UAM Iztapalapa","TMP"
"54","268TMP22010305","2022-01-03",5,9.9,1,"°C",268,"UAM Iztapalapa","TMP"
"55","268TMP22010306","2022-01-03",6,9.6,1,"°C",268,"UAM Iztapalapa","TMP"
"56","268TMP22010307","2022-01-03",7,9.8,1,"°C",268,"UAM Iztapalapa","TMP"
"57","268TMP22010308","2022-01-03",8,10,1,"°C",268,"UAM Iztapalapa","TMP"
"58","268TMP22010309","2022-01-03",9,10.4,1,"°C",268,"UAM Iztapalapa","TMP"
"59","268TMP22010310","2022-01-03",10,11.3,1,"°C",268,"UAM Iztapalapa","TMP"
"60","268TMP22010311","2022-01-03",11,12.2,1,"°C",268,"UAM Iztapalapa","TMP"
"61","268TMP22010312","2022-01-03",12,13.8,1,"°C",268,"UAM Iztapalapa","TMP"
"62","268TMP22010313","2022-01-03",13,15.6,1,"°C",268,"UAM Iztapalapa","TMP"
"63","268TMP22010314","2022-01-03",14,17.2,1,"°C",268,"UAM Iztapalapa","TMP"
"64","268TMP22010315","2022-01-03",15,19,1,"°C",268,"UAM Iztapalapa","TMP"
"65","268TMP22010316","2022-01-03",16,19.9,1,"°C",268,"UAM Iztapalapa","TMP"
"66","268TMP22010317","2022-01-03",17,20.8,1,"°C",268,"UAM Iztapalapa","TMP"
"67","268TMP22010318","2022-01-03",18,20.6,1,"°C",268,"UAM Iztapalapa","TMP"
"68","268TMP22010319","2022-01-03",19,19.7,1,"°C",268,"UAM Iztapalapa","TMP"
"69","268TMP22010320","2022-01-03",20,18.9,1,"°C",268,"UAM Iztapalapa","TMP"
"70","268TMP22010321","2022-01-03",21,17.3,1,"°C",268,"UAM Iztapalapa","TMP"
"71","268TMP22010322","2022-01-03",22,16.2,1,"°C",268,"UAM Iztapalapa","TMP"
"72","268TMP22010323","2022-01-03",23,15.7,1,"°C",268,"UAM Iztapalapa","TMP"
"73","268TMP22010400","2022-01-04",0,15.2,1,"°C",268,"UAM Iztapalapa","TMP"
"74","268TMP22010401","2022-01-04",1,14.3,1,"°C",268,"UAM Iztapalapa","TMP"
"75","268TMP22010402","2022-01-04",2,13.5,1,"°C",268,"UAM Iztapalapa","TMP"
"76","268TMP22010403","2022-01-04",3,12.8,1,"°C",268,"UAM Iztapalapa","TMP"
"77","268TMP22010404","2022-01-04",4,12.2,1,"°C",268,"UAM Iztapalapa","TMP"
"78","268TMP22010405","2022-01-04",5,11.7,1,"°C",268,"UAM Iztapalapa","TMP"
"79","268TMP22010406","2022-01-04",6,11,1,"°C",268,"UAM Iztapalapa","TMP"
"80","268TMP22010407","2022-01-04",7,10.9,1,"°C",268,"UAM Iztapalapa","TMP"
"81","268TMP22010408","2022-01-04",8,10.7,1,"°C",268,"UAM Iztapalapa","TMP"
"82","268TMP22010409","2022-01-04",9,11.8,1,"°C",268,"UAM Iztapalapa","TMP"
"83","268TMP22010410","2022-01-04",10,13.6,1,"°C",268,"UAM Iztapalapa","TMP"
"84","268TMP22010411","2022-01-04",11,15.9,1,"°C",268,"UAM Iztapalapa","TMP"
"85","268TMP22010412","2022-01-04",12,18.2,1,"°C",268,"UAM Iztapalapa","TMP"
"86","268TMP22010413","2022-01-04",13,19.7,1,"°C",268,"UAM Iztapalapa","TMP"
"87","268TMP22010414","2022-01-04",14,21,1,"°C",268,"UAM Iztapalapa","TMP"
"88","268TMP22010415","2022-01-04",15,22.5,1,"°C",268,"UAM Iztapalapa","TMP"
"89","268TMP22010416","2022-01-04",16,23.5,1,"°C",268,"UAM Iztapalapa","TMP"
"90","268TMP22010417","2022-01-04",17,24.1,1,"°C",268,"UAM Iztapalapa","TMP"
"91","268TMP22010418","2022-01-04",18,23.7,1,"°C",268,"UAM Iztapalapa","TMP"
"92","268TMP22010419","2022-01-04",19,21.6,1,"°C",268,"UAM Iztapalapa","TMP"
"93","268TMP22010423","2022-01-04",23,16.5,1,"°C",268,"UAM Iztapalapa","TMP"
"94","268TMP22010500","2022-01-05",0,15.5,1,"°C",268,"UAM Iztapalapa","TMP"
"95","268TMP22010504","2022-01-05",4,12.8,1,"°C",268,"UAM Iztapalapa","TMP"
"96","268TMP22010508","2022-01-05",8,10.8,1,"°C",268,"UAM Iztapalapa","TMP"
"97","268TMP22010510","2022-01-05",10,13.9,1,"°C",268,"UAM Iztapalapa","TMP"
"98","268TMP22010514","2022-01-05",14,22.3,1,"°C",268,"UAM Iztapalapa","TMP"
"99","268TMP22012814","2022-01-28",14,20.9,1,"°C",268,"UAM Iztapalapa","TMP"
"100","268TMP22012815","2022-01-28",15,21.6,1,"°C",268,"UAM Iztapalapa","TMP"
"101","268TMP22012816","2022-01-28",16,21.8,1,"°C",268,"UAM Iztapalapa","TMP"
"102","268TMP22012817","2022-01-28",17,21.9,1,"°C",268,"UAM Iztapalapa","TMP"
"103","268TMP22012818","2022-01-28",18,20.4,1,"°C",268,"UAM Iztapalapa","TMP"
"104","268TMP22012819","2022-01-28",19,16.5,1,"°C",268,"UAM Iztapalapa","TMP"
"105","268TMP22012820","2022-01-28",20,13.6,1,"°C",268,"UAM Iztapalapa","TMP"
"106","268TMP22012821","2022-01-28",21,12.7,1,"°C",268,"UAM Iztapalapa","TMP"
"107","268TMP22012822","2022-01-28",22,12.5,1,"°C",268,"UAM Iztapalapa","TMP"
"108","268TMP22012823","2022-01-28",23,12.2,1,"°C",268,"UAM Iztapalapa","TMP"
"109","268TMP22012900","2022-01-29",0,11.7,1,"°C",268,"UAM Iztapalapa","TMP"
"110","268TMP22012901","2022-01-29",1,10.9,1,"°C",268,"UAM Iztapalapa","TMP"
"111","268TMP22012902","2022-01-29",2,10.6,1,"°C",268,"UAM Iztapalapa","TMP"
"112","268TMP22012903","2022-01-29",3,10.2,1,"°C",268,"UAM Iztapalapa","TMP"
"113","268TMP22012904","2022-01-29",4,9.9,1,"°C",268,"UAM Iztapalapa","TMP"
"114","268TMP22012905","2022-01-29",5,10,1,"°C",268,"UAM Iztapalapa","TMP"
"115","268TMP22012906","2022-01-29",6,9.9,1,"°C",268,"UAM Iztapalapa","TMP"
"116","268TMP22012907","2022-01-29",7,10,1,"°C",268,"UAM Iztapalapa","TMP"
"117","268TMP22012908","2022-01-29",8,9.9,1,"°C",268,"UAM Iztapalapa","TMP"
"118","268TMP22012909","2022-01-29",9,10.6,1,"°C",268,"UAM Iztapalapa","TMP"
"119","268TMP22012910","2022-01-29",10,11.5,1,"°C",268,"UAM Iztapalapa","TMP"
"120","268TMP22012911","2022-01-29",11,13.2,1,"°C",268,"UAM Iztapalapa","TMP"
"121","268TMP22012912","2022-01-29",12,15.6,1,"°C",268,"UAM Iztapalapa","TMP"
"122","268TMP22012913","2022-01-29",13,18.3,1,"°C",268,"UAM Iztapalapa","TMP"
"123","268TMP22012914","2022-01-29",14,20.2,1,"°C",268,"UAM Iztapalapa","TMP"
"124","268TMP22012915","2022-01-29",15,21.7,1,"°C",268,"UAM Iztapalapa","TMP"
"125","268TMP22012916","2022-01-29",16,21.9,1,"°C",268,"UAM Iztapalapa","TMP"
"126","268TMP22012917","2022-01-29",17,21.4,1,"°C",268,"UAM Iztapalapa","TMP"
"127","268TMP22012918","2022-01-29",18,20,1,"°C",268,"UAM Iztapalapa","TMP"
"128","268TMP22012919","2022-01-29",19,18.3,1,"°C",268,"UAM Iztapalapa","TMP"
"129","268TMP22012920","2022-01-29",20,17.7,1,"°C",268,"UAM Iztapalapa","TMP"
"130","268TMP22012921","2022-01-29",21,17.2,1,"°C",268,"UAM Iztapalapa","TMP"
"131","268TMP22012922","2022-01-29",22,16.5,1,"°C",268,"UAM Iztapalapa","TMP"
"132","268TMP22012923","2022-01-29",23,15.8,1,"°C",268,"UAM Iztapalapa","TMP"
"133","268TMP22013002","2022-01-30",2,14.3,1,"°C",268,"UAM Iztapalapa","TMP"
"134","268TMP22013003","2022-01-30",3,13.5,1,"°C",268,"UAM Iztapalapa","TMP"
"135","268TMP22013004","2022-01-30",4,12.5,1,"°C",268,"UAM Iztapalapa","TMP"
"136","268TMP22013005","2022-01-30",5,12.3,1,"°C",268,"UAM Iztapalapa","TMP"
"137","268TMP22013006","2022-01-30",6,11.9,1,"°C",268,"UAM Iztapalapa","TMP"
"138","268TMP22013007","2022-01-30",7,11.1,1,"°C",268,"UAM Iztapalapa","TMP"
"139","268TMP22013008","2022-01-30",8,11.1,1,"°C",268,"UAM Iztapalapa","TMP"
"140","268TMP22013009","2022-01-30",9,11.9,1,"°C",268,"UAM Iztapalapa","TMP"
"141","268TMP22013010","2022-01-30",10,14,1,"°C",268,"UAM Iztapalapa","TMP"
"142","268TMP22013012","2022-01-30",12,18.6,1,"°C",268,"UAM Iztapalapa","TMP"
"143","268TMP22013013","2022-01-30",13,19.9,1,"°C",268,"UAM Iztapalapa","TMP"
"144","268TMP22013014","2022-01-30",14,20.8,1,"°C",268,"UAM Iztapalapa","TMP"
"145","268TMP22013015","2022-01-30",15,21.3,1,"°C",268,"UAM Iztapalapa","TMP"
"146","268TMP22013016","2022-01-30",16,22.4,1,"°C",268,"UAM Iztapalapa","TMP"
"147","268TMP22013017","2022-01-30",17,22.4,1,"°C",268,"UAM Iztapalapa","TMP"
"148","268TMP22013018","2022-01-30",18,22,1,"°C",268,"UAM Iztapalapa","TMP"
