"","id","date","hour","value","valid","unit","station_id","station_name","station_code","parametro"
"1","270TMP22010100","2022-01-01",0,14.5,1,"°C",270,"Villa de las Flores","VIF","TMP"
"2","270TMP22010101","2022-01-01",1,14,1,"°C",270,"Villa de las Flores","VIF","TMP"
"3","270TMP22010102","2022-01-01",2,12.4,1,"°C",270,"Villa de las Flores","VIF","TMP"
"4","270TMP22010103","2022-01-01",3,11.5,1,"°C",270,"Villa de las Flores","VIF","TMP"
"5","270TMP22010104","2022-01-01",4,10.8,1,"°C",270,"Villa de las Flores","VIF","TMP"
"6","270TMP22010105","2022-01-01",5,9.8,1,"°C",270,"Villa de las Flores","VIF","TMP"
"7","270TMP22010106","2022-01-01",6,9.7,1,"°C",270,"Villa de las Flores","VIF","TMP"
"8","270TMP22010107","2022-01-01",7,8.9,1,"°C",270,"Villa de las Flores","VIF","TMP"
"9","270TMP22010108","2022-01-01",8,7.9,1,"°C",270,"Villa de las Flores","VIF","TMP"
"10","270TMP22010109","2022-01-01",9,9.1,1,"°C",270,"Villa de las Flores","VIF","TMP"
"11","270TMP22010110","2022-01-01",10,11.6,1,"°C",270,"Villa de las Flores","VIF","TMP"
"12","270TMP22010111","2022-01-01",11,15.4,1,"°C",270,"Villa de las Flores","VIF","TMP"
"13","270TMP22010112","2022-01-01",12,18,1,"°C",270,"Villa de las Flores","VIF","TMP"
"14","270TMP22010113","2022-01-01",13,20.4,1,"°C",270,"Villa de las Flores","VIF","TMP"
"15","270TMP22010114","2022-01-01",14,22.2,1,"°C",270,"Villa de las Flores","VIF","TMP"
"16","270TMP22010115","2022-01-01",15,23.4,1,"°C",270,"Villa de las Flores","VIF","TMP"
"17","270TMP22010116","2022-01-01",16,24.2,1,"°C",270,"Villa de las Flores","VIF","TMP"
"18","270TMP22010117","2022-01-01",17,24.1,1,"°C",270,"Villa de las Flores","VIF","TMP"
"19","270TMP22010118","2022-01-01",18,23.7,1,"°C",270,"Villa de las Flores","VIF","TMP"
"20","270TMP22010119","2022-01-01",19,21.7,1,"°C",270,"Villa de las Flores","VIF","TMP"
"21","270TMP22010120","2022-01-01",20,19.8,1,"°C",270,"Villa de las Flores","VIF","TMP"
"22","270TMP22010121","2022-01-01",21,18,1,"°C",270,"Villa de las Flores","VIF","TMP"
"23","270TMP22010122","2022-01-01",22,16.6,1,"°C",270,"Villa de las Flores","VIF","TMP"
"24","270TMP22010123","2022-01-01",23,14.9,1,"°C",270,"Villa de las Flores","VIF","TMP"
"25","270TMP22010200","2022-01-02",0,13.8,1,"°C",270,"Villa de las Flores","VIF","TMP"
"26","270TMP22010201","2022-01-02",1,12.5,1,"°C",270,"Villa de las Flores","VIF","TMP"
"27","270TMP22010202","2022-01-02",2,12.2,1,"°C",270,"Villa de las Flores","VIF","TMP"
"28","270TMP22010203","2022-01-02",3,11.3,1,"°C",270,"Villa de las Flores","VIF","TMP"
"29","270TMP22010204","2022-01-02",4,10,1,"°C",270,"Villa de las Flores","VIF","TMP"
"30","270TMP22010205","2022-01-02",5,8.9,1,"°C",270,"Villa de las Flores","VIF","TMP"
"31","270TMP22010206","2022-01-02",6,8.3,1,"°C",270,"Villa de las Flores","VIF","TMP"
"32","270TMP22010207","2022-01-02",7,8.1,1,"°C",270,"Villa de las Flores","VIF","TMP"
"33","270TMP22010208","2022-01-02",8,7.7,1,"°C",270,"Villa de las Flores","VIF","TMP"
"34","270TMP22010209","2022-01-02",9,9.3,1,"°C",270,"Villa de las Flores","VIF","TMP"
